ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,601,1739354763597,0.15075,-2.8014,8.25613,-3.00589,-2.31927,-6.63738
Abj,602,1739354763609,0.81685,-1.33789,10.06242,-2.57866,1.22067,-7.78938
Abj,603,1739354763622,0.42383,-0.10409,10.6684,-8.49889,0.42723,-6.45428
Abj,604,1739354763643,0.60838,-1.66122,9.49711,-11.12333,-8.0564,-6.14911
Abj,605,1739354763660,0.60838,-1.66122,9.49711,-3.43313,6.53057,-8.03352
Abj,606,1739354763671,0.75224,-2.88515,8.80708,-0.01526,-6.10334,-7.24008
Abj,607,1739354763690,0.45015,-4.61964,8.05753,5.29464,1.831,-9.01005
Abj,608,1739354763703,1.37737,-0.77019,11.78465,0.47301,-5.3099,-9.43728
Abj,609,1739354763720,-0.03589,-1.63729,10.20868,3.09744,6.2254,-11.08518
Abj,610,1739354763736,-0.03589,-1.63729,10.20868,2.54814,-3.2958,-11.14622
Abj,611,1739354763755,1.60259,-1.1007,10.28286,0.65611,1.22067,-11.51242
Abj,612,1739354763773,0.68255,-0.84197,10.1677,-0.68663,-1.22067,-10.78002
Abj,613,1739354763790,1.57149,-1.34507,9.6,-0.32043,4.5775,-10.29175
Abj,614,1739354763806,0.47916,-2.78704,9.89223,-0.32043,2.1972,-10.04762
Abj,615,1739354763827,0.98195,-3.25185,10.96062,4.25708,1.03757,-8.21662
Abj,616,1739354763845,0.48395,-2.70329,10.34028,5.23361,-0.67137,-10.41382
Abj,617,1739354763861,0.48395,-2.70329,10.34028,0.47301,0.3662,-10.71898
Abj,618,1739354763874,1.00379,-0.38195,10.6349,1.38851,3.4789,-7.18668
Abj,619,1739354763890,0.92213,-1.2658,8.91267,5.23361,9.82637,-10.96312
Abj,620,1739354763910,1.12822,-0.21894,9.81805,-4.65379,4.15027,-8.27765
Abj,621,1739354763923,0.64666,-1.05763,9.32453,-4.53173,5.3099,-4.44018
Abj,622,1739354763937,0.64666,-1.05763,9.32453,0.16784,4.63854,-6.39324
Abj,623,1739354763955,0.14118,-4.54068,8.99163,-0.50353,2.5634,-7.78938
Abj,624,1739354763971,0.57966,-3.55603,9.2695,2.42608,-3.35683,-5.47774
