ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,201,1739354841450,-0.59671,-1.38754,10.82902,-24.02807,0.37383,-13.96138
Ak,202,1739354841464,-0.62542,-0.07866,8.85255,-25.90484,0.7057,-14.86162
Ak,203,1739354841480,0.4346,0.25155,8.32134,-10.53207,6.99213,-2.37649
Ak,204,1739354841499,0.19531,0.41186,9.02722,17.02068,-1.8043,4.66142
Ak,205,1739354841520,0.65234,0.29462,11.1688,21.11373,-2.20102,6.53438
Ak,206,1739354841533,-1.98455,-4.51256,10.14467,19.53067,-2.04462,6.65264
Ak,207,1739354841550,-1.98455,-4.51256,10.14467,5.53878,-3.80696,1.27407
Ak,208,1739354841567,0.0015,-3.21805,10.42224,-0.55311,-2.23153,2.04462
Ak,209,1739354841583,-0.48425,2.23759,10.58495,-5.1535,-2.68165,0.38146
Ak,210,1739354841600,0.48963,-1.55743,6.03619,-0.5226,0.86591,5.94694
Ak,211,1739354841615,0.51356,4.24038,11.38894,-6.172,0.85828,3.18899
Ak,212,1739354841631,-1.92233,1.21107,9.28565,-1.38851,0.29754,4.74916
Ak,213,1739354841648,-1.92233,1.21107,9.28565,5.32516,1.81956,8.74684
Ak,214,1739354841666,0.50638,-5.6348,9.32154,7.99156,1.9874,9.72719
Ak,215,1739354841681,-1.59691,-3.02901,9.68046,4.86741,1.73945,7.78557
Ak,216,1739354841700,1.57597,2.4003,11.10659,2.25823,3.39117,8.80788
Ak,217,1739354841719,-0.099,1.07946,10.81945,1.88059,0.19073,8.70488
Ak,218,1739354841736,-1.34566,-1.95224,9.27847,15.71227,-4.05109,14.36954
Ak,219,1739354841748,-1.34566,-1.95224,9.27847,8.08692,-0.83158,13.68673
Ak,220,1739354841767,1.42523,-3.33051,8.02224,-56.01336,-8.77355,-20.244
Ak,221,1739354841785,-2.05633,-0.25573,9.77618,-24.01281,-0.77055,0.97653
Ak,222,1739354841799,0.37717,1.05553,8.85015,25.01223,3.19281,27.78925
Ak,223,1739354841816,-0.98674,0.56261,13.95404,37.88264,-9.81111,22.56327
Ak,224,1739354841829,-0.98674,0.56261,13.95404,33.62938,-8.64766,19.93884
Ak,225,1739354841849,-1.34566,-2.43799,8.19213,4.75679,4.24945,12.49277
Ak,226,1739354841864,1.28166,-1.87807,9.89821,-13.76684,13.60662,6.46191
Ak,227,1739354841880,0.89641,-0.99033,11.20708,-12.10749,10.85249,2.98301
Ak,228,1739354841901,-0.70439,-1.52632,6.70379,5.97745,2.81135,2.3536
Ak,229,1739354841914,0.94427,-0.2653,10.12792,-16.57056,-8.7087,-18.79827
Ak,230,1739354841931,1.2003,0.99811,15.60988,-18.79446,-9.36099,-20.23637
Ak,231,1739354841951,0.66431,-0.50219,6.25394,7.55288,-3.33395,-1.99884
Ak,232,1739354841967,0.66431,-0.50219,6.25394,2.43752,-1.22067,-2.36123
Ak,233,1739354841983,-0.67807,-2.71077,8.62284,1.91111,-1.17108,-2.0141
Ak,234,1739354841999,-0.81206,-2.8328,10.54667,0.14877,-0.53786,-0.62559
Ak,235,1739354842019,-0.45553,-1.69143,9.1014,-4.11594,5.16495,2.54814
Ak,236,1739354842033,0.21446,-1.30857,12.24557,-4.98185,8.09836,4.40203
Ak,237,1739354842050,0.21446,-1.30857,12.24557,-3.86799,13.54941,8.3692
Ak,238,1739354842068,-0.61346,-1.98814,9.05354,-52.79766,16.47901,-15.04472
Ak,239,1739354842082,-0.23779,0.87846,9.45315,-46.22132,14.06437,-14.30088
Ak,240,1739354842098,0.20967,1.64178,10.96062,-21.71262,6.58397,-9.38006
Ak,241,1739354842114,-0.58953,-1.62203,8.54866,22.71204,-2.42608,5.80961
Ak,242,1739354842131,-0.76899,-1.05733,9.28086,22.2314,-2.24298,5.38238
Ak,243,1739354842148,-0.76899,-1.05733,9.28086,30.75318,-4.24182,7.66732
Ak,244,1739354842168,-0.57278,-3.17019,11.43201,13.88127,-0.17547,1.09097
Ak,245,1739354842181,-1.5658,-5.8334,8.74726,10.00184,0.7591,-0.12588
Ak,246,1739354842200,0.33171,3.54407,11.37458,-20.2707,6.33603,-9.85307
Ak,247,1739354842217,0.02303,1.22064,8.61087,-14.36191,4.83689,-6.66408
Ak,248,1739354842232,0.19771,-1.29661,9.37657,-12.96959,4.42873,-5.87827
Ak,249,1739354842252,0.62602,-4.16321,8.80708,-8.39972,3.53612,-4.05109
Ak,250,1739354842263,0.62602,-4.16321,8.80708,-12.1876,2.3803,-6.89677
Ak,251,1739354842281,-1.08963,-0.02602,8.21845,-9.44491,1.9607,-5.97364
Ak,252,1739354842296,-0.70678,-1.3014,11.55404,3.31106,1.36944,-2.12854
Ak,253,1739354842313,-0.24975,-1.67707,10.77159,40.56048,-6.79378,9.10923
Ak,254,1739354842330,1.44676,-1.95224,9.14686,33.40432,-5.84776,5.36331
Ak,255,1739354842347,1.44676,-1.95224,9.14686,-18.13835,-5.35949,-21.14043
Ak,256,1739354842363,-1.4677,0.54347,8.54387,-19.3018,-5.82487,-21.52189
Ak,257,1739354842384,0.16899,0.7325,10.14946,-14.02623,-4.50502,-16.27683
Ak,258,1739354842399,-0.72353,-2.00489,6.27308,19.89306,0.82395,7.01121
Ak,259,1739354842414,-0.30239,-0.15045,15.28445,14.02623,0.52641,4.96277
Ak,260,1739354842426,-0.30239,-0.15045,15.28445,12.95814,0.03433,4.56606
Ak,261,1739354842447,0.18096,-1.40429,9.23301,9.22367,-0.1297,2.97156
Ak,262,1739354842463,-1.0992,-4.98156,11.28605,5.54641,-0.34331,0.51497
Ak,263,1739354842481,0.73131,1.04596,6.12234,-13.0497,5.37856,-5.18021
Ak,264,1739354842496,-0.36221,2.58455,15.89223,-7.1676,2.99826,-4.94752
Ak,265,1739354842513,-1.88166,-2.47388,2.67667,13.15269,-4.07398,-1.67079
Ak,266,1739354842533,-1.54666,-3.12951,15.92094,11.24921,0.31661,0.48827
