ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Gar,3201,1742632734299,-0.46241,-1.20957,16.2682,-2.29243,5.45984,-0.14
Gar,3202,1742632734307,-0.46241,-1.20957,16.2682,-8.24226,-5.45984,-0.76998
Gar,3203,1742632734316,-0.46241,-1.20957,16.2682,2.25743,-1.88994,-2.16994
Gar,3204,1742632734324,1.44347,-2.29651,10.46501,3.16741,-0.34999,1.67995
Gar,3205,1742632734333,1.44347,-2.29651,10.46501,-2.85242,-3.56989,-2.51993
Gar,3206,1742632734341,-1.79103,-2.15653,1.21615,-15.66204,-24.21929,-5.38984
Gar,3207,1742632734349,-1.79103,-2.15653,1.21615,-8.66224,-22.39934,-7.13979
Gar,3208,1742632734357,-0.78066,-0.40738,13.21556,3.58739,3.14991,-2.02994
Gar,3209,1742632734365,-0.78066,-0.40738,13.21556,-5.02235,-7.55978,-1.18996
Gar,3210,1742632734376,1.38544,0.44686,12.39901,-10.90218,2.37993,-1.53995
Gar,3211,1742632734385,1.38544,0.44686,12.39901,-10.0622,-7.83977,-1.04997
Gar,3212,1742632734392,1.38544,0.44686,12.39901,-7.89227,-9.79971,-0.83998
Gar,3213,1742632734401,-0.35593,-5.6674,6.62214,-5.30234,-11.75965,-0.27999
Gar,3214,1742632734409,-0.35593,-5.6674,6.62214,-3.69239,-2.02994,-1.81995
Gar,3215,1742632734417,-0.79801,-0.95474,11.08774,-2.50243,3.63989,-0.41999
Gar,3216,1742632734426,-0.79801,-0.95474,11.08774,-4.04238,-2.58992,3.14991
Gar,3217,1742632734433,-0.79801,-0.95474,11.08774,-5.37234,-3.00991,2.65992
Gar,3218,1742632734441,0.10169,-3.82014,11.89951,-6.14232,-11.05967,4.75986
Gar,3219,1742632734450,0.10169,-3.82014,11.89951,-12.93212,-7.62978,1.81995
Gar,3220,1742632734458,0.84885,-2.69851,8.07697,5.61733,-10.98968,5.80983
Gar,3221,1742632734467,0.84885,-2.69851,8.07697,3.65739,-7.27979,3.07991
Gar,3222,1742632734475,0.24826,-0.24586,8.25285,-8.31226,-9.93971,7.27979
Gar,3223,1742632734483,0.24826,-0.24586,8.25285,-0.19249,3.84989,7.13979
Gar,3224,1742632734491,0.24826,-0.24586,8.25285,0.92747,0.27999,6.50981
Gar,3225,1742632734500,-0.21176,-4.1659,10.16411,-8.03226,-4.61986,8.95974
Gar,3226,1742632734508,-0.21176,-4.1659,10.16411,-2.85242,-2.93991,6.57981
Gar,3227,1742632734518,-0.12502,-3.59043,10.67319,11.00718,-2.51993,8.88974
Gar,3228,1742632734526,-0.12502,-3.59043,10.67319,6.9473,3.4999,6.9298
Gar,3229,1742632734535,-0.27159,-1.31964,10.98186,7.29729,-3.77989,11.12967
Gar,3230,1742632734544,-0.27159,-1.31964,10.98186,10.3072,1.39996,10.63969
Gar,3231,1742632734552,0.2656,-3.39063,8.61177,0.1575,-3.56989,10.2197
Gar,3232,1742632734559,0.2656,-3.39063,8.61177,7.50728,-2.37993,11.26967
Gar,3233,1742632734567,0.2656,-3.39063,8.61177,23.53681,-3.77989,11.89965
Gar,3234,1742632734574,0.86919,-5.02253,0.01256,17.30699,-0.76998,9.72971
Gar,3235,1742632734584,0.86919,-5.02253,0.01256,18.77695,-0.90997,3.84989
Gar,3236,1742632734592,-0.1675,-0.15494,9.33081,18.91694,-15.60954,-5.31984
Gar,3237,1742632734602,-0.1675,-0.15494,9.33081,7.43728,35.34896,19.80942
Gar,3238,1742632734609,-0.1675,-0.15494,9.33081,23.25682,-1.88994,15.04956
Gar,3239,1742632734617,-0.89312,1.1001,20.04348,39.49634,23.51931,18.61945
Gar,3240,1742632734627,-0.89312,1.1001,20.04348,10.3072,3.91988,12.17964
Gar,3241,1742632734635,-0.55813,-1.72343,8.97308,15.13706,-1.04997,15.25955
Gar,3242,1742632734642,-0.55813,-1.72343,8.97308,25.07676,5.10985,13.22961
Gar,3243,1742632734650,-0.57488,-1.66421,5.16012,9.46722,6.43981,13.6496
Gar,3244,1742632734659,-0.57488,-1.66421,5.16012,2.81742,1.81995,14.13958
Gar,3245,1742632734669,-0.57488,-1.66421,5.16012,3.93738,5.87983,13.99959
Gar,3246,1742632734676,0.22612,-2.62253,9.2686,6.9473,7.34978,13.08961
Gar,3247,1742632734684,0.22612,-2.62253,9.2686,6.8073,11.68966,11.05967
Gar,3248,1742632734694,-0.9673,-1.16949,12.17049,11.63716,10.63969,13.22961
Gar,3249,1742632734703,-0.9673,-1.16949,12.17049,9.04723,14.62957,10.63969
Gar,3250,1742632734709,0.27458,0.60778,14.25404,8.20726,15.46955,13.01962
Gar,3251,1742632734718,0.27458,0.60778,14.25404,1.62745,11.40966,8.88974
