ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
RV,1601,1739352604531,-2.7993,-1.7677,9.25484,15.98693,-2.80372,1.58687
RV,1602,1739352604544,-0.85155,-4.2993,9.59701,14.30088,-1.56779,-1.49913
RV,1603,1739352604555,-0.85155,-4.2993,9.59701,7.83134,-0.68281,-8.14032
RV,1604,1739352604573,-3.18216,-3.06939,9.97269,4.64616,2.82279,-11.98543
RV,1605,1739352604594,-3.03619,-0.74118,11.29831,-1.74708,4.5508,-15.01421
RV,1606,1739352604611,-0.91376,0.36431,8.85524,-9.43728,5.86302,-17.14656
RV,1607,1739352604627,-0.18634,-2.27019,9.2333,-12.64916,5.52733,-18.57321
RV,1608,1739352604646,-1.24636,-4.15095,9.55155,-9.39532,3.20044,-17.42121
RV,1609,1739352604661,-2.35424,-2.4329,11.22653,-9.58605,0.49208,-18.51599
RV,1610,1739352604684,-2.70359,-2.33001,10.03729,-4.09686,-0.19836,-14.59842
RV,1611,1739352604697,-2.70359,-2.33001,10.03729,-2.70836,-0.35094,-12.80938
RV,1612,1739352604711,-1.8685,-4.14856,9.63051,-0.70951,0.06866,-9.04438
RV,1613,1739352604731,-1.00947,-0.34636,11.36052,0.07248,0.22125,-7.68257
RV,1614,1739352604748,-2.54088,-1.40877,10.12104,-0.44631,0.63322,-6.9578
RV,1615,1739352604761,-2.0336,-2.12423,10.61157,-1.42284,2.99826,-6.2254
RV,1616,1739352604779,-2.0336,-2.12423,10.61157,-1.1253,3.89088,-7.06843
RV,1617,1739352604797,-3.47647,-3.52403,9.2357,-1.86915,3.80696,-10.14298
RV,1618,1739352604812,-2.06471,-3.15793,8.8337,-1.73564,3.53993,-10.2002
RV,1619,1739352604826,-0.85155,-3.35892,7.86222,-3.85273,0.06866,-14.30088
RV,1620,1739352604844,-0.52373,-0.87278,9.25484,-5.35186,-7.56814,-22.64719
RV,1621,1739352604862,-2.17478,-2.28455,9.64487,-6.21777,-8.64003,-21.9949
RV,1622,1739352604878,-2.17478,-2.28455,9.64487,-6.16055,-8.62478,-19.59934
RV,1623,1739352604894,-2.43799,-1.22453,9.11127,-7.18668,-6.65645,-9.68142
RV,1624,1739352604913,-1.00229,-2.68176,10.01815,-1.51058,-5.61507,-0.25558
RV,1625,1739352604933,-2.19153,-3.10529,9.69033,-0.82776,-1.59068,5.58837
RV,1626,1739352604946,-2.32074,-1.97827,10.25743,0.28609,3.19281,11.94347
RV,1627,1739352604964,-2.16521,-1.48534,9.59223,6.61449,8.12125,19.91976
RV,1628,1739352604978,-2.16521,-1.48534,9.59223,5.87827,9.6242,20.95351
RV,1629,1739352604998,-0.48784,-1.86102,9.77408,5.96601,7.93434,16.04414
RV,1630,1739352605011,-1.85414,-3.89252,9.88655,6.33603,4.56987,9.44873
RV,1631,1739352605025,-0.9329,-1.74377,10.59482,3.28817,4.54317,7.38504
RV,1632,1739352605047,-1.66032,-1.50209,10.16172,0.34331,1.36181,1.39232
RV,1633,1739352605061,-1.66032,-1.50209,10.16172,1.84244,-1.95307,-2.23916
RV,1634,1739352605078,-2.28724,-2.62194,9.49173,3.42168,-6.05375,-6.93492
RV,1635,1739352605088,-1.14347,-2.25344,9.4008,3.88325,-10.26505,-13.24042
RV,1636,1739352605107,-0.39212,-2.78704,9.09691,3.18518,-10.30701,-14.09108
RV,1637,1739352605123,-1.99531,-2.58365,10.40339,0.24795,-6.82429,-10.88682
RV,1638,1739352605143,-1.94507,-0.734,9.9009,-0.80106,-3.8451,-7.38504
RV,1639,1739352605161,-0.83719,-1.40638,10.44168,-1.6746,-1.47624,-4.51647
