ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,2751,1739356145327,0.44297,-2.30309,9.87787,1.44954,1.70893,4.28759
Abj,2752,1739356145345,0.35922,-1.80957,9.55933,1.02231,1.2817,4.10449
Abj,2753,1739356145364,0.28983,-1.74018,9.48276,1.75471,1.52583,4.47069
Abj,2754,1739356145380,0.44297,-2.0013,9.32692,0.22888,0.3662,3.92139
Abj,2755,1739356145398,0.22522,-1.89362,9.6335,-0.19836,-0.5493,4.10449
Abj,2756,1739356145413,0.22522,-1.89362,9.6335,-0.50353,1.15963,3.55519
Abj,2757,1739356145441,0.09332,-2.11884,9.69362,-0.56456,-0.48827,3.00589
Abj,2758,1739356145457,0.40229,-1.98455,9.48036,0.16784,1.40377,2.45659
Abj,2759,1739356145465,0.40229,-1.98455,9.48036,2.36504,-1.831,3.37209
Abj,2760,1739356145479,0.43101,-2.03001,9.51147,1.87678,2.86857,2.02936
Abj,2761,1739356145498,0.45015,-1.73539,10.2015,1.81574,-1.15963,1.78523
Abj,2762,1739356145512,0.45015,-1.73539,10.2015,3.34158,2.1972,1.78523
Abj,2763,1739356145530,0.56291,-2.32702,9.84676,5.66084,0.48827,2.09039
Abj,2764,1739356145547,0.31854,-1.64686,10.57269,4.37914,1.831,1.72419
Abj,2765,1739356145564,0.51266,-1.17488,10.52244,2.54814,0.48827,1.41903
Abj,2766,1739356145588,0.31615,-1.38335,10.05045,-0.93076,3.90613,1.48006
Abj,2767,1739356145597,0.40708,-1.32353,10.20868,-1.23593,0.97653,2.39556
Abj,2768,1739356145613,0.40708,-1.32353,10.20868,-3.49416,3.8451,1.66316
Abj,2769,1739356145630,0.28504,-2.10927,9.64307,-2.27349,4.2113,2.57866
Abj,2770,1739356145647,0.45254,-2.18345,9.7678,-0.01526,2.31927,3.12796
Abj,2771,1739356145664,0.40469,-1.95823,9.79173,-0.74766,2.07513,1.90729
Abj,2772,1739356145682,0.17707,-1.63968,9.68166,-0.01526,1.6479,2.82279
Abj,2773,1739356145704,0.52702,-1.68754,9.45883,1.20541,0.97653,2.51763
Abj,2774,1739356145726,0.31854,-1.83829,8.95813,1.63264,2.62443,2.39556
Abj,2775,1739356145744,0.38315,-1.45753,9.70319,1.75471,-0.7324,2.15143
Abj,2776,1739356145760,0.34008,-1.85533,9.66012,3.28054,2.50237,2.51763
Abj,2777,1739356145766,0.34008,-1.85533,9.66012,1.87678,3.35683,2.27349
Abj,2778,1739356145779,0.28265,-2.00369,9.01795,1.81574,2.07513,2.39556
Abj,2779,1739356145797,0.42144,-1.34985,10.29482,0.35094,1.03757,2.45659
Abj,2780,1739356145813,0.42144,-1.34985,10.29482,-1.60213,-1.40377,2.70073
Abj,2781,1739356145831,0.18185,-1.7019,10.67558,-0.44249,4.3944,2.94486
Abj,2782,1739356145847,0.39751,-2.26481,9.63111,0.83921,5.06577,2.27349
Abj,2783,1739356145865,0.14596,-1.88644,10.235,1.26644,2.13617,1.23593
Abj,2784,1739356145887,0.37358,-1.71386,10.34268,1.20541,4.0282,1.78523
Abj,2785,1739356145896,0.45972,-1.47667,9.88026,0.04578,4.2113,1.78523
Abj,2786,1739356145914,0.45972,-1.47667,9.88026,-2.70073,4.51647,2.09039
Abj,2787,1739356145932,0.28744,-0.90658,10.03849,-3.43313,5.493,0.93076
Abj,2788,1739356145949,0.39511,-2.15713,9.6697,-1.90729,7.93434,1.54109
Abj,2789,1739356145965,0.2659,-2.25045,9.37986,-2.51763,5.3099,1.60213
Abj,2790,1739356145981,0.51027,-2.12602,9.8348,-0.44249,4.69957,2.02936
Abj,2791,1739356145997,0.37597,-2.63839,9.65055,1.44954,2.80753,1.48006
Abj,2792,1739356146027,0.54855,-1.94387,9.3006,1.57161,1.6479,1.66316
Abj,2793,1739356146044,0.21805,-0.91615,9.67927,-0.99179,-0.12207,1.23593
Abj,2794,1739356146065,0.19621,-1.42642,9.64547,0.04578,-0.06103,1.60213
Abj,2795,1739356146079,0.43101,-2.17627,9.23121,-0.19836,4.2113,0.74766
Abj,2796,1739356146084,0.43101,-2.17627,9.23121,-0.38146,2.68547,1.29696
Abj,2797,1739356146097,0.42622,-1.97737,9.58565,-0.50353,3.96717,0.25939
Abj,2798,1739356146119,0.42622,-1.97737,9.58565,0.65611,2.62443,0.93076
Abj,2799,1739356146132,0.62752,-1.90798,10.21107,1.14438,3.4789,1.41903
Abj,2800,1739356146149,0.22044,-1.83829,10.3666,0.59508,3.17373,0.19836
Abj,2801,1739356146167,0.43819,-1.55803,10.235,-1.05283,4.08923,0.25939
Abj,2802,1739356146183,0.20608,-1.71625,9.95713,-1.23593,5.79817,-0.10681
Abj,2803,1739356146204,0.54377,-1.74497,9.76541,-0.86973,8.36157,-0.53404
Abj,2804,1739356146216,0.54377,-1.74497,9.76541,0.10681,7.5071,-0.04578
Abj,2805,1739356146232,0.17468,-1.76889,9.74387,1.14438,6.2254,-0.65611
Abj,2806,1739356146248,0.29701,-1.94626,9.51147,0.59508,6.89677,-1.08334
Abj,2807,1739356146267,0.2994,-1.67797,9.48276,0.53404,4.51647,-0.96128
Abj,2808,1739356146284,0.16032,-1.24666,10.19193,-1.60213,3.05167,-1.93781
Abj,2809,1739356146300,0.30419,-2.25524,9.71037,-0.38146,4.88267,-1.93781
Abj,2810,1739356146321,0.30419,-2.25524,9.71037,-2.33453,5.37094,-2.42608
Abj,2811,1739356146339,0.2994,-2.1018,9.32692,-0.38146,6.0423,-3.58571
Abj,2812,1739356146354,0.27547,-1.63968,9.18096,-0.80869,1.95307,-3.46364
Abj,2813,1739356146366,0.21805,-1.48624,9.91137,-0.13733,3.90613,-3.76881
Abj,2814,1739356146385,0.41665,-1.55563,9.74387,-1.54109,3.53993,-3.64674
Abj,2815,1739356146402,0.20369,-2.24566,9.51386,-0.19836,5.1268,-4.56224
Abj,2816,1739356146416,0.20369,-2.24566,9.51386,-0.38146,2.68547,-4.31811
Abj,2817,1739356146432,0.44536,-1.74018,9.96431,-0.80869,3.4789,-4.44018
Abj,2818,1739356146450,0.30658,-1.63011,10.29243,-0.50353,1.4648,-4.80638
Abj,2819,1739356146468,0.46451,-2.05394,10.04088,0.16784,4.15027,-5.29464
Abj,2820,1739356146484,0.25155,-1.89601,9.50668,-1.41903,2.3803,-5.47774
Abj,2821,1739356146500,0.19382,-1.07916,10.38575,-1.78523,2.0141,-5.41671
Abj,2822,1739356146519,0.19382,-1.07916,10.38575,-3.67726,3.2958,-5.53878
Abj,2823,1739356146541,0.48873,-1.95823,9.94756,-2.63969,4.9437,-5.17258
Abj,2824,1739356146559,0.34008,-2.27438,9.62872,0.35094,1.95307,-5.41671
Abj,2825,1739356146566,0.32094,-2.67697,9.54976,0.04578,5.1268,-5.53878
Abj,2826,1739356146581,0.31615,-2.20259,9.81326,1.14438,0.30517,-5.29464
Abj,2827,1739356146599,0.35444,-1.34985,9.66252,1.99884,1.6479,-4.74534
Abj,2828,1739356146617,0.35444,-1.34985,9.66252,-1.84626,-0.85447,-5.11154
Abj,2829,1739356146634,0.36162,-1.37139,9.5354,-4.04346,3.72303,-4.68431
Abj,2830,1739356146650,0.52702,-1.66122,9.21685,-0.74766,1.95307,-4.07398
Abj,2831,1739356146667,0.24437,-2.16431,9.12832,0.65611,5.24887,-4.31811
Abj,2832,1739356146689,0.37837,-1.67318,9.9018,-1.54109,0.12207,-4.62328
Abj,2833,1739356146709,0.33051,-2.50917,9.99781,2.36504,2.3803,-3.52468
Abj,2834,1739356146728,0.78574,-2.32223,9.3006,1.75471,6.0423,-3.89088
Abj,2835,1739356146741,0.3999,-1.03849,10.11985,0.59508,1.58687,-3.89088
Abj,2836,1739356146752,0.3999,-1.03849,10.11985,-0.50353,2.44133,-4.19604
Abj,2837,1739356146764,0.19143,-1.85294,10.08874,-0.93076,5.06577,-3.76881
Abj,2838,1739356146782,0.38554,-2.38235,9.58086,1.20541,7.6902,-3.40261
Abj,2839,1739356146800,0.18185,-1.63011,9.90658,1.02231,3.35683,-3.95191
Abj,2840,1739356146818,0.18185,-1.63011,9.90658,0.16784,7.20194,-4.07398
Abj,2841,1739356146834,0.47438,-1.66361,9.85394,-1.48006,8.36157,-3.70778
Abj,2842,1739356146851,0.33529,-1.91755,10.52962,-0.80869,4.82164,-2.97538
Abj,2843,1739356146875,0.29701,-2.04676,9.91885,-2.45659,5.55404,-3.64674
Abj,2844,1739356146900,0.28983,-2.35573,9.97867,-2.21246,6.46954,-3.58571
Abj,2845,1739356146909,0.27547,-2.26481,9.48276,-1.96833,5.06577,-3.46364
Abj,2846,1739356146914,0.27547,-2.26481,9.48276,-2.39556,8.6057,-4.07398
Abj,2847,1739356146932,0.40469,-2.64586,9.44926,-0.32043,5.43197,-4.07398
Abj,2848,1739356146951,0.45972,-2.14038,9.26471,0.16784,5.493,-4.37914
Abj,2849,1739356146968,0.22762,-1.47428,9.50429,0.28991,6.71367,-4.80638
Abj,2850,1739356146984,0.37119,-1.57508,9.77737,-2.51763,1.6479,-4.74534
Abj,2851,1739356147001,0.37119,-1.57508,9.77737,-2.02936,-0.12207,-5.29464
Abj,2852,1739356147028,0.40469,-2.45414,9.42772,-0.93076,5.98127,-5.66084
Abj,2853,1739356147042,0.40469,-2.45414,9.42772,-0.44249,3.17373,-6.39324
Abj,2854,1739356147051,0.28744,-1.96062,10.17727,2.67021,8.9719,-6.45428
Abj,2855,1739356147065,0.42861,-2.16431,10.21107,0.16784,5.00474,-6.63738
Abj,2856,1739356147081,0.19382,-1.65882,10.1342,-0.01526,8.91087,-6.88151
Abj,2857,1739356147102,0.24676,-2.20977,9.33889,0.90024,14.27418,-7.24008
Abj,2858,1739356147117,0.24676,-2.20977,9.33889,1.81574,8.72777,-7.78938
Abj,2859,1739356147135,0.15793,-1.80718,10.19911,1.08334,8.6057,-7.97248
Abj,2860,1739356147152,0.47438,-1.95344,10.21107,0.35094,6.65264,-8.15558
Abj,2861,1739356147177,0.19382,-1.84576,9.91137,0.96128,11.77944,-8.64385
Abj,2862,1739356147194,0.39511,-2.38235,9.08734,0.71714,9.82637,-9.68142
Abj,2863,1739356147201,0.02393,-2.36052,9.3006,0.77818,9.3381,-10.41382
