ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,4501,1739352248395,1.02562,-1.95464,8.97937,7.81227,15.74279,-15.02565
Ak,4502,1739352248417,1.40369,-2.07667,9.63261,6.172,14.2017,-13.1565
Ak,4503,1739352248429,0.56381,-2.1987,10.06092,3.61623,12.26008,-10.84105
Ak,4504,1739352248447,1.09023,-1.87807,9.71396,2.7465,9.90648,-8.44549
Ak,4505,1739352248464,1.97797,-0.82522,10.89123,1.40377,6.83574,-6.06138
Ak,4506,1739352248479,1.97797,-0.82522,10.89123,4.61946,1.46862,-4.63091
Ak,4507,1739352248493,2.67428,-1.71057,9.94128,4.97422,-0.14114,-2.33834
Ak,4508,1739352248515,1.7339,-1.89721,9.55604,3.8451,-9.51357,1.80811
Ak,4509,1739352248534,1.11416,-1.4665,9.77857,1.60594,-13.38156,4.21512
Ak,4510,1739352248549,1.03759,-2.04078,9.41725,-2.12091,-12.67587,6.17581
Ak,4511,1739352248564,1.03759,-2.04078,9.41725,-3.61623,-13.23279,6.4085
Ak,4512,1739352248575,1.30558,-1.35882,10.04896,-2.83042,-11.49716,5.31753
Ak,4513,1739352248592,1.15005,-2.7993,9.71157,-2.12091,-9.30759,3.43313
Ak,4514,1739352248611,0.9012,-0.50698,10.01546,-9.60131,-7.79701,4.50884
Ak,4515,1739352248630,1.18594,-1.8661,10.01546,-8.75829,-4.07398,-0.2098
Ak,4516,1739352248647,1.36062,-0.80369,9.91257,-8.02589,-0.18691,-2.10565
Ak,4517,1739352248664,1.74347,-1.10758,9.96042,-5.71425,5.16495,-4.50502
Ak,4518,1739352248680,1.74347,-1.10758,9.96042,-2.3803,9.26944,-5.9889
Ak,4519,1739352248698,1.35583,-0.74865,10.03939,10.48629,12.44699,-12.75597
Ak,4520,1739352248708,1.32473,-1.19851,9.77857,15.23545,14.03004,-13.71343
Ak,4521,1739352248726,0.9682,-2.31117,9.54407,18.76013,14.06437,-15.25071
Ak,4522,1739352248748,1.25773,-3.14866,10.33131,14.47253,13.01155,-10.91353
