ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,751,1739354596370,-1.00005,-1.218,11.50695,-3.80516,-7.87029,5.33352
HS,752,1739354596386,-1.005,-3.95505,9.27795,-0.7957,11.8724,6.45222
HS,753,1739354596403,-2.60895,-1.02705,9.52005,3.19854,-5.90863,6.65705
HS,754,1739354596419,-2.60895,-1.02705,9.52005,2.63919,2.21377,6.52312
HS,755,1739354596433,1.49205,0.16695,11.93595,-1.21324,4.23846,5.19171
HS,756,1739354596453,-2.09895,0.15795,9.55095,0.74843,-2.68646,6.65705
HS,757,1739354596468,-1.46205,-4.311,8.49705,2.14286,-2.33982,4.77417
HS,758,1739354596486,0.88605,0.105,11.16,2.28467,10.12345,6.52312
HS,759,1739354596501,0.26295,-0.91395,5.48505,1.30778,-13.96012,5.26262
HS,760,1739354596518,-2.487,0.48105,13.87005,1.37868,-6.32617,4.07301
HS,761,1739354596533,-3.47805,-0.648,6.73995,1.44958,20.12872,5.04991
HS,762,1739354596553,-3.47805,-0.648,6.73995,-3.73425,-9.27261,6.72796
HS,763,1739354596569,-0.59505,-0.11205,10.22805,-3.37973,-3.81303,4.34875
HS,764,1739354596584,-0.05205,-0.72705,9.78105,1.30778,2.4186,7.22428
HS,765,1739354596602,-1.35705,-2.73795,8.751,1.51261,-8.083,6.72796
HS,766,1739354596618,-1.02405,-3.82995,11.598,4.45904,20.97169,8.83143
HS,767,1739354596636,-2.79105,0.639,10.03695,4.59297,-10.2495,9.17807
HS,768,1739354596653,-0.825,0.675,10.32405,-1.14233,14.59825,6.38132
HS,769,1739354596668,-0.825,0.675,10.32405,-4.64024,7.46063,8.34298
HS,770,1739354596683,-1.53405,1.42905,7.16595,-8.49267,-15.49636,3.30095
HS,771,1739354596702,-3.64995,-7.58895,10.662,0.74843,-4.08877,4.49056
HS,772,1739354596718,-5.96295,-3.26505,9.117,9.49319,-7.72848,7.42911
