ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,1001,1739352591179,0.37478,-4.28764,7.75424,-0.40435,2.33834,9.76534
Ak,1002,1739352591200,0.14267,1.70877,12.79831,-0.59126,2.86857,10.85631
Ak,1003,1739352591214,0.64277,-1.53111,6.37358,-0.3128,2.62062,11.53149
Ak,1004,1739352591233,2.31057,-3.45733,14.35125,16.90624,2.22009,17.10841
Ak,1005,1739352591247,2.31057,-3.45733,14.35125,21.14043,5.14206,20.75134
Ak,1006,1739352591263,3.84198,-2.44277,7.34746,17.55472,0.0534,13.94994
Ak,1007,1739352591279,3.91376,1.84277,10.74048,10.94023,-14.44202,-1.81193
Ak,1008,1739352591294,-0.36221,-1.92353,6.74686,-12.18378,-4.78349,-3.53993
Ak,1009,1739352591314,3.81565,-0.80847,12.3365,-9.29614,-3.19281,-3.76118
Ak,1010,1739352591331,2.234,-0.87308,6.7995,8.11362,-9.50595,-5.34423
Ak,1011,1739352591347,2.234,-0.87308,6.7995,6.86625,-10.36804,-7.76649
Ak,1012,1739352591368,2.3345,-3.12712,7.02922,3.98624,-10.34134,-10.98982
Ak,1013,1739352591383,-2.81486,-1.3014,12.28146,-11.77562,-14.41532,-22.28862
Ak,1014,1739352591399,1.1333,-3.84257,11.47747,4.6805,11.13096,5.35186
Ak,1015,1739352591409,1.1333,-3.84257,11.47747,-1.94925,0.91931,-7.48422
Ak,1016,1739352591427,6.24198,-0.35623,12.18814,-14.01478,2.84187,-9.89503
Ak,1017,1739352591443,0.24078,1.61545,8.40509,-14.49542,-14.3314,-25.43565
Ak,1018,1739352591464,-0.81206,-2.00728,4.57897,5.26031,6.21014,1.10623
Ak,1019,1739352591479,-1.01785,-6.35264,9.91257,4.16553,3.03259,-0.67518
Ak,1020,1739352591493,-1.48445,-4.38335,12.27428,2.20864,3.30725,0.04578
Ak,1021,1739352591514,-0.78096,-5.01506,7.88824,11.38654,2.96393,5.01236
Ak,1022,1739352591537,2.87528,0.37358,12.23839,7.60628,3.2958,5.27939
Ak,1023,1739352591550,2.87528,0.37358,12.23839,15.25834,7.50329,11.74511
Ak,1024,1739352591564,7.03639,-1.67468,12.35085,13.1832,11.75274,14.27036
Ak,1025,1739352591578,0.79113,-1.47607,6.10559,-11.85954,8.49508,-0.01526
Ak,1026,1739352591599,-1.0657,-2.07428,12.99931,-12.53473,8.91468,-1.01849
Ak,1027,1739352591615,4.14108,-3.96222,7.62981,15.68176,8.29672,6.16055
Ak,1028,1739352591632,4.14108,-3.96222,7.62981,-19.15303,-17.44028,-32.1951
Ak,1029,1739352591647,0.60927,-1.94028,9.95325,-28.84589,-19.25984,-37.87883
Ak,1030,1739352591661,2.71017,2.02223,8.84776,-31.01257,-14.04912,-34.88056
Ak,1031,1739352591678,-1.25713,-1.41147,9.09183,-29.42952,-11.98161,-32.93512
Ak,1032,1739352591696,-0.14925,-7.51795,7.84278,5.56929,-3.49797,-14.79296
Ak,1033,1739352591719,0.61167,1.78534,12.61885,-10.30319,-0.68281,-16.10518
Ak,1034,1739352591736,-2.47747,0.02183,8.02224,-34.7852,-1.27407,-21.48374
Ak,1035,1739352591742,-2.47747,0.02183,8.02224,-27.31624,-1.52202,-18.29856
Ak,1036,1739352591759,3.30598,-0.4017,4.87089,16.37601,27.97235,26.90045
Ak,1037,1739352591779,-0.6661,1.89781,13.81048,18.68002,5.493,9.57461
Ak,1038,1739352591796,-0.45075,-4.48385,9.54407,22.45646,18.52362,24.52015
Ak,1039,1739352591813,-1.7668,-1.366,8.5008,-26.27486,14.14829,5.64559
Ak,1040,1739352591830,-1.7668,-1.366,8.5008,39.75941,1.11004,16.83758
Ak,1041,1739352591848,4.58854,-8.84118,9.00329,24.5316,13.8088,24.0891
Ak,1042,1739352591867,3.69362,0.98136,12.59492,-36.04401,18.73343,7.83516
Ak,1043,1739352591883,6.85933,3.29282,11.16162,-4.67287,8.75447,6.31695
Ak,1044,1739352591894,2.76999,-2.3351,4.85893,17.93236,-5.36712,-1.12149
Ak,1045,1739352591914,-6.45195,-4.50778,10.15903,-19.80914,-12.72164,-22.71585
Ak,1046,1739352591931,-6.45195,-4.50778,10.15903,-21.08702,1.82719,-9.63183
Ak,1047,1739352591947,-0.54885,-3.16062,14.77,-24.50871,1.75852,-11.22251
Ak,1048,1739352591962,2.70299,-1.78953,6.81625,9.01768,2.56722,-1.88822
Ak,1049,1739352591978,3.21266,5.28604,13.3678,41.46072,7.28967,13.47311
Ak,1050,1739352591996,-2.72393,-5.46491,4.74407,32.66048,3.7917,5.85539
Ak,1051,1739352592014,-2.72393,-5.46491,4.74407,-21.8652,17.32584,0.11825
Ak,1052,1739352592033,-0.30239,-2.0671,17.69642,-14.96462,0.70951,-14.19026
Ak,1053,1739352592047,-2.03719,-4.71595,3.87548,21.5524,11.61541,7.73979
Ak,1054,1739352592060,2.75803,0.03141,12.4011,6.64501,16.09373,6.94636
Ak,1055,1739352592077,-0.51535,-5.00549,9.8336,13.12599,5.97364,-0.82014
Ak,1056,1739352592096,1.70279,-3.48365,7.28525,7.0875,1.68223,-7.26678
Ak,1057,1739352592115,-0.04158,-3.22283,3.02602,-47.04146,11.4552,-14.45346
Ak,1058,1739352592132,2.46371,0.78036,24.50639,-34.25879,8.76973,-12.78649
Ak,1059,1739352592147,2.46371,0.78036,24.50639,12.30204,-0.64085,-7.48422
Ak,1060,1739352592164,-3.03021,-2.95005,0.75284,26.86231,-9.47161,-10.54351
Ak,1061,1739352592185,6.03859,-1.65075,16.11955,-4.64616,8.35775,-0.11444
Ak,1062,1739352592198,1.90618,0.74207,10.76441,-5.74095,3.78788,-3.28054
Ak,1063,1739352592212,1.21944,-2.42124,5.34228,42.01384,-15.80001,-4.41347
Ak,1064,1739352592234,1.21944,-2.42124,5.34228,31.93952,-11.13859,-1.31222
Ak,1065,1739352592247,-1.93908,-8.32194,15.59313,42.6852,-19.62222,-5.71806
Ak,1066,1739352592261,0.69302,-3.10319,9.88385,2.80372,3.80696,5.79054
Ak,1067,1739352592280,1.98993,-1.48564,5.08864,-39.16053,18.13835,7.91908
Ak,1068,1739352592296,-1.90319,-1.2344,13.39173,-28.06009,2.60155,-2.54433
Ak,1069,1739352592314,-0.41964,-4.2661,11.97039,22.72729,2.66639,14.38861
Ak,1070,1739352592330,-0.41964,-4.2661,11.97039,-10.72661,3.92139,3.40261
Ak,1071,1739352592347,3.9664,-1.06929,10.39592,-12.51947,3.62767,1.73564
Ak,1072,1739352592366,4.44257,4.15663,9.91735,-33.61794,20.4004,9.69286
Ak,1073,1739352592377,1.81286,-0.25573,7.35464,22.98287,-13.03062,-5.32135
Ak,1074,1739352592393,1.40848,2.37637,12.35085,1.73945,8.89943,8.9719
Ak,1075,1739352592413,1.22901,-3.09841,6.833,25.33647,0.43868,8.48745
Ak,1076,1739352592430,1.22901,-3.09841,6.833,-17.20759,-1.52583,-7.62154
Ak,1077,1739352592447,0.71456,-2.72752,6.14866,-30.01697,16.39509,5.21454
Ak,1078,1739352592464,-1.33609,0.81625,11.92254,-20.51865,-0.27465,-9.49832
Ak,1079,1739352592480,2.82981,-0.64337,12.19771,33.82011,-15.34989,-9.90648
Ak,1080,1739352592500,3.09542,0.89282,8.19691,18.27186,-8.64385,-9.45636
Ak,1081,1739352592516,1.52572,-2.0001,4.68903,16.02126,-7.90382,-9.50976
Ak,1082,1739352592533,0.75763,1.11057,16.67468,-34.03373,8.1594,-8.19373
Ak,1083,1739352592548,0.75763,1.11057,16.67468,4.29904,8.01444,4.16171
Ak,1084,1739352592562,0.48724,-3.43101,6.24916,10.23072,-0.34331,-1.52583
Ak,1085,1739352592583,4.31097,1.47428,11.95604,-4.81782,15.67031,10.58929
Ak,1086,1739352592594,0.89641,-3.28744,6.11037,-4.74916,13.78209,9.31522
Ak,1087,1739352592611,0.89641,-3.28744,6.11037,-29.75758,14.83873,3.31487
Ak,1088,1739352592630,3.45912,3.16361,13.82005,-0.57982,6.04612,4.09305
Ak,1089,1739352592648,3.81087,2.64437,9.2689,44.63446,1.79667,15.26597
Ak,1090,1739352592668,-0.6661,-5.49362,4.34686,50.6348,-4.90556,10.03236
Ak,1091,1739352592681,1.38933,1.94327,12.90359,-21.91479,-3.87562,-13.96901
Ak,1092,1739352592693,3.8013,-0.49502,7.43839,13.19846,-6.91584,-5.76765
Ak,1093,1739352592709,3.8013,-0.49502,7.43839,11.14622,-17.05501,-16.12425
Ak,1094,1739352592726,2.22443,-0.54766,9.67328,4.18078,-9.08253,-10.3299
Ak,1095,1739352592746,1.70519,-3.81625,9.52972,0.99179,-11.56582,-13.49219
Ak,1096,1739352592765,-0.81206,-4.03639,8.17299,-52.91592,-10.92497,-27.07211
Ak,1097,1739352592780,1.84158,3.85035,10.38156,-50.60047,7.26678,-8.96809
Ak,1098,1739352592796,2.24118,0.01466,10.44617,14.07582,-5.88209,-4.27615
Ak,1099,1739352592814,3.28445,-2.45713,8.75923,32.58037,5.83631,13.94231
Ak,1100,1739352592839,-1.87208,-0.83719,9.47229,18.54651,12.80556,16.62396
Ak,1101,1739352592851,-1.87208,-0.83719,9.47229,13.60662,9.77297,12.76742
Ak,1102,1739352592864,-1.12552,-2.70598,9.11815,12.23337,8.57519,11.69552
Ak,1103,1739352592878,-0.24018,-7.60409,11.35065,10.69991,7.29349,11.11951
Ak,1104,1739352592900,3.20788,0.38554,12.50639,9.64708,5.97745,9.95225
Ak,1105,1739352592915,4.43061,-6.05593,7.16082,8.80025,-6.57634,-1.67842
Ak,1106,1739352592930,4.43061,-6.05593,7.16082,-35.18573,-16.91006,-24.4286
Ak,1107,1739352592946,-1.5658,-0.11695,7.28046,-37.44778,-15.24308,-23.45588
Ak,1108,1739352592963,0.61645,0.64875,12.79831,-5.60363,-18.50836,-19.22169
Ak,1109,1739352592977,-0.65414,-8.39612,8.02463,9.30377,-28.88785,-26.43889
Ak,1110,1739352592996,3.59791,-0.70558,15.51177,0.70188,-19.81677,-21.9453
Ak,1111,1739352593015,2.167,-3.1989,9.0679,0.43105,-23.2766,-26.59147
Ak,1112,1739352593028,2.167,-3.1989,9.0679,-0.76292,-19.24458,-23.40629
Ak,1113,1739352593046,-1.21884,0.85693,10.03699,-30.93247,-3.26147,-14.87307
Ak,1114,1739352593060,2.21486,-2.52174,11.17119,37.54696,-1.41521,5.65703
Ak,1115,1739352593076,0.29821,-5.00549,6.19173,23.96704,-13.26331,-8.579
Ak,1116,1739352593096,0.24796,0.91675,10.88405,-36.80693,12.4241,5.0467
Ak,1117,1739352593109,0.24796,0.91675,10.88405,-60.93418,7.85042,-2.34216
Ak,1118,1739352593130,4.15783,0.97179,10.11596,26.33589,12.94289,27.72059
Ak,1119,1739352593147,-0.8671,-1.51914,6.25873,24.14632,5.73714,22.53657
Ak,1120,1739352593164,2.56182,-3.02662,11.41765,19.41242,5.59218,21.63251
Ak,1121,1739352593183,4.01426,-2.09103,12.07089,-19.60315,4.00531,8.15177
Ak,1122,1739352593194,4.45693,1.20867,7.19911,-18.13072,3.41787,7.69402
