ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,1501,1739351969022,3.309,-2.73405,9.594,-4.1518,-2.89129,-4.61661
HS,1502,1739351969032,3.41205,1.61595,9.46905,-5.76682,1.72532,-1.81198
HS,1503,1739351969048,3.41205,1.61595,9.46905,-11.50213,-1.14233,-3.07249
HS,1504,1739351969067,-0.14295,-0.675,7.83405,-12.20328,1.30778,-2.65494
HS,1505,1739351969082,1.83405,0.10305,8.25105,-15.28365,8.16178,-0.55935
HS,1506,1739351969094,-1.28505,-4.671,8.82795,-17.38712,10.33616,0.49632
HS,1507,1739351969115,4.28595,-9.76305,8.526,-3.73425,2.70221,1.75683
HS,1508,1739351969132,-1.10805,-5.57805,9.096,4.38814,-1.9853,-1.1896
HS,1509,1739351969148,6.03795,-1.99605,12.65595,6.90915,-11.43122,-1.88288
HS,1510,1739351969165,6.03795,-1.99605,12.65595,5.36503,-14.86611,-4.82932
HS,1511,1739351969182,-0.30795,2.07105,11.63895,11.10822,-13.6765,-10.77734
HS,1512,1739351969198,0.01005,-3.49995,8.83005,19.43545,-6.32617,-6.7831
HS,1513,1739351969214,3.333,-4.503,10.88895,32.17445,-7.44487,-3.14339
HS,1514,1739351969231,5.442,2.04195,11.54505,24.40657,-3.52154,-5.5226
HS,1515,1739351969248,-0.705,-0.76995,7.25205,14.46432,-12.62871,-2.02469
HS,1516,1739351969265,4.27095,-0.399,10.662,2.77312,3.61608,-2.58404
HS,1517,1739351969281,4.27095,-0.399,10.662,-0.44118,1.30778,-1.0478
HS,1518,1739351969298,-0.59295,-2.74995,8.42805,0.2521,7.67334,-5.03415
HS,1519,1739351969314,0.75195,-1.671,8.562,-1.70168,1.30778,-2.58404
HS,1520,1739351969331,1.96095,-4.905,6.80205,6.90915,8.72113,-1.46534
HS,1521,1739351969346,5.08095,0.07095,7.65,3.33247,1.09507,-3.63184
HS,1522,1739351969363,-0.432,-8.07495,1.54905,17.05624,-29.49587,-1.81198
HS,1523,1739351969380,4.66395,3.354,14.23605,16.98533,29.79524,-3.427
HS,1524,1739351969398,3.378,2.14695,13.97805,-9.12292,-2.61555,0.0709
HS,1525,1739351969413,3.378,2.14695,13.97805,-10.52523,6.83825,-2.93856
HS,1526,1739351969429,2.172,-2.85795,11.09295,-13.74741,-2.33194,2.59192
HS,1527,1739351969446,-1.194,-4.764,11.17395,0.53572,15.37819,2.38709
HS,1528,1739351969463,4.947,1.47705,9.88605,-1.70168,4.66388,-1.60715
HS,1529,1739351969479,2.53605,-3.91905,11.42805,-13.39289,8.09876,-0.62238
HS,1530,1739351969498,-2.10105,-1.66095,8.14305,-9.96588,-3.1749,1.19748
HS,1531,1739351969513,5.445,-0.17895,12.74205,-3.52154,8.37449,2.24528
HS,1532,1739351969532,5.445,-0.17895,12.74205,-3.87606,14.53522,0.49632
HS,1533,1739351969549,4.45095,0.498,12.65595,-9.40654,-6.81462,-2.86765
HS,1534,1739351969566,0.201,0.615,10.779,-5.62501,-3.45852,-1.53624
HS,1535,1739351969581,5.54295,1.90305,10.15695,-7.23216,-3.24581,-3.21429
HS,1536,1739351969597,-0.41295,2.739,10.87695,-3.45064,0.81145,-2.93856
HS,1537,1739351969614,0.76905,-2.985,8.05005,-2.0562,-9.05202,-4.89234
HS,1538,1739351969631,2.646,1.63005,11.65995,3.61608,3.19854,-6.08195
HS,1539,1739351969646,2.646,1.63005,11.65995,-0.8666,-8.84718,-6.22375
HS,1540,1739351969662,1.695,0.021,8.96205,2.91492,-0.51208,-9.44593
HS,1541,1739351969679,-0.945,-2.66895,7.19505,3.47427,-0.8666,-9.58773
HS,1542,1739351969695,-1.383,-1.185,8.028,0.60662,-4.08089,-11.47849
HS,1543,1739351969713,2.25495,0.90495,9.61305,-13.04625,0.2521,-6.22375
HS,1544,1739351969730,1.39395,-3.14295,8.36295,-5.06566,-0.37815,-2.65494
HS,1545,1739351969747,1.077,-6.567,7.31505,3.33247,-8.63447,-5.80621
HS,1546,1739351969763,0.14805,1.24905,10.79295,-0.44118,-4.57722,-5.6644
HS,1547,1739351969778,0.14805,1.24905,10.79295,-0.8666,-12.34509,-4.05726
HS,1548,1739351969794,2.871,0.35595,9.18405,-8.49267,-4.43541,-3.70274
HS,1549,1739351969812,0.68205,-5.80095,5.583,12.99898,-9.75317,-3.3561
HS,1550,1739351969829,6.70605,3.34395,11.43,2.00893,5.85348,-5.10505
HS,1551,1739351969845,3.30195,4.88895,10.13295,-5.90075,-11.57303,-2.58404
HS,1552,1739351969862,1.137,-1.33305,8.89695,-5.4123,4.24633,-0.48845
HS,1553,1739351969879,-0.279,-3.18405,7.42005,-9.12292,7.11399,-0.69328
HS,1554,1739351969895,0.06495,-1.13895,10.23795,-16.61506,25.73798,3.22217
HS,1555,1739351969914,0.06495,-1.13895,10.23795,-2.89129,14.04678,6.93279
HS,1556,1739351969928,5.82795,-4.28505,8.14305,5.85348,2.07196,3.71062
HS,1557,1739351969944,2.98095,3.43305,11.382,-7.02733,-7.51577,1.68593
HS,1558,1739351969962,-0.55905,3.795,10.353,-12.13238,-3.104,5.18384
HS,1559,1739351969979,4.91805,-3.79905,9.95295,-11.01368,-3.24581,6.0268
HS,1560,1739351969995,-1.81605,-6.45405,5.763,4.73478,-1.07931,1.96166
