ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,601,1739356521276,-0.71505,-1.44795,10.45305,3.82879,3.56881,0.4333
HS,602,1739356521293,-0.34905,-1.8,10.00095,3.55305,1.96166,-0.12605
HS,603,1739356521310,-0.04005,-1.99095,9.321,6.76735,-0.48845,-0.05515
HS,604,1739356521325,-0.04005,-1.99095,9.321,7.12187,-0.70116,-0.7563
HS,605,1739356521348,-0.80805,0.486,10.75305,6.56252,2.10347,-0.96114
HS,606,1739356521361,0.201,-1.98705,9.91995,5.0893,4.97113,-1.03204
HS,607,1739356521376,-0.48705,0.45705,9.711,1.59139,5.38867,-1.59139
HS,608,1739356521394,0.09795,-1.35,9.67305,1.03204,3.71062,-2.01681
HS,609,1739356521411,-1.359,-1.347,9.18195,0.25998,0.0709,-2.43435
HS,610,1739356521427,0.98595,-2.331,10.011,0.67752,3.92333,-2.29255
HS,611,1739356521443,0.98595,-2.331,10.011,1.37868,1.89076,-2.36345
HS,612,1739356521462,-1.09095,-0.837,10.092,2.36345,3.92333,-1.94591
HS,613,1739356521477,0.79995,-0.96195,9.75195,-1.34717,4.82932,-2.08771
HS,614,1739356521495,-1.67505,-0.84195,10.65495,-2.74948,5.11293,-2.64706
HS,615,1739356521511,0.92205,-1.40505,10.21905,-3.30883,2.45011,-2.64706
HS,616,1739356521526,-2.355,-1.68,10.068,-2.04832,2.59192,-2.43435
HS,617,1739356521541,0.37605,-1.776,10.66395,-1.34717,-0.20483,-3.27732
HS,618,1739356521558,0.37605,-1.776,10.66395,-2.19013,2.52101,-3.76576
HS,619,1739356521575,-1.95495,-1.85505,10.365,-3.23793,2.17437,-3.69486
HS,620,1739356521591,1.89405,-0.399,9.927,-5.2705,3.22217,-4.32512
HS,621,1739356521607,-2.23305,-2.262,9.64695,-1.70168,-3.427,-4.95537
HS,622,1739356521625,1.398,-1.09605,9.95505,-2.74948,-2.2374,-5.09718
HS,623,1739356521641,-2.28495,-1.05795,9.69,-2.11923,0.48845,-5.51472
HS,624,1739356521658,1.51605,-0.73005,9.783,-2.53677,-1.96166,-5.58562
HS,625,1739356521674,-1.09305,-1.24905,9.28995,-3.0331,-0.27574,-5.93226
HS,626,1739356521691,-1.09305,-1.24905,9.28995,-2.74948,2.03257,-5.44382
HS,627,1739356521707,1.554,-1.491,9.14895,-2.11923,-0.48845,-5.44382
HS,628,1739356521724,-1.074,-1.48395,9.129,-2.19013,0.48845,-5.2311
HS,629,1739356521741,0.87405,-2.08695,9.627,-1.70168,4.62449,-4.60085
HS,630,1739356521758,-0.88005,-1.19895,8.87805,-0.71691,3.22217,-4.32512
HS,631,1739356521773,0.55305,-0.70305,9.52395,-0.44118,1.81986,-4.18331
HS,632,1739356521790,-0.58305,-1.374,8.70795,-0.58298,2.03257,-3.83667
HS,633,1739356521807,-0.58305,-1.374,8.70795,-0.85872,3.08036,-3.69486
HS,634,1739356521823,-0.07605,-1.61805,9.29895,-0.02363,2.66282,-3.55305
HS,635,1739356521840,-1.524,-1.55295,9.30195,1.10294,2.10347,-3.41125
HS,636,1739356521858,0.20595,-1.386,8.79405,1.30778,2.37921,-3.69486
HS,637,1739356521873,-0.849,-1.20795,9.02595,0.47269,1.68593,-3.69486
HS,638,1739356521887,-0.507,-1.20105,10.767,-0.44118,2.93856,-3.90757
HS,639,1739356521903,-0.61395,-2.133,9.252,0.74843,1.96166,-4.18331
HS,640,1739356521922,-0.61395,-2.133,9.252,2.22164,0.70116,-3.9706
HS,641,1739356521938,-0.29805,-0.88305,10.305,2.22164,0.0709,-4.39602
HS,642,1739356521956,-0.873,-1.197,10.128,2.49738,-2.02469,-5.09718
HS,643,1739356521973,-0.09195,-1.54095,10.27395,2.9937,0.28361,-4.67175
HS,644,1739356521990,-0.36795,-0.74205,10.13505,1.66229,-2.3083,-5.1602
HS,645,1739356522006,0.429,-0.58395,10.635,-1.55988,-1.89076,-5.79045
HS,646,1739356522022,-0.50205,-1.563,9.936,-1.97742,-2.79675,-5.72743
HS,647,1739356522039,-0.198,-2.487,9.558,0.33088,-2.37921,-4.88447
HS,648,1739356522056,-0.198,-2.487,9.558,2.00893,-0.90599,-4.39602
HS,649,1739356522073,0.153,-0.38205,10.125,2.00893,-0.41754,-4.74266
HS,650,1739356522089,-0.636,-0.84495,9.70905,0.74843,-2.1665,-4.1124
HS,651,1739356522106,-0.645,-0.00705,9.723,-0.78782,-1.1187,-3.69486
HS,652,1739356522122,-0.91605,-1.27095,9.71595,-1.77259,-1.67805,-3.9706
HS,653,1739356522139,0.34005,-1.48395,8.71305,-2.26103,-1.89076,-3.06461
HS,654,1739356522156,-0.89205,-1.51005,9.01395,-0.85872,-4.12816,-2.8519
HS,655,1739356522172,0.54105,0.04995,10.614,-2.53677,-2.3083,-3.62396
HS,656,1739356522189,0.54105,0.04995,10.614,-3.66335,-3.00946,-3.06461
HS,657,1739356522206,-1.63395,-2.50605,8.41605,-0.71691,-2.79675,-2.43435
HS,658,1739356522222,1.19505,-1.09395,9.45495,-1.84349,-2.09559,-2.22164
HS,659,1739356522239,-1.51905,-0.21705,9.558,-4.71115,1.74895,-2.43435
HS,660,1739356522255,0.627,-1.503,9.45705,-4.78205,0.55935,-2.29255
HS,661,1739356522272,-1.12905,-2.952,10.01805,-3.45064,2.17437,-1.94591
HS,662,1739356522288,1.55895,-1.99605,9.82605,-0.64601,0.28361,-1.66229
HS,663,1739356522305,1.55895,-1.99605,9.82605,-0.22847,4.41178,-1.66229
HS,664,1739356522322,-1.15995,-0.43305,10.56405,-1.14233,6.30254,-1.52049
HS,665,1739356522339,0.72795,-0.32295,9.876,-1.90652,2.24528,-1.38656
HS,666,1739356522355,-1.977,-0.14295,9.771,-3.45064,-1.67805,-1.59139
HS,667,1739356522372,0.18,-1.57995,9.99105,-4.71115,-0.48845,-1.94591
HS,668,1739356522388,-1.74705,-1.70205,9.50505,-2.33194,-2.2374,-1.66229
HS,669,1739356522405,1.02495,-2.02695,9.55995,-0.58298,-2.58404,-1.31565
HS,670,1739356522421,-1.66305,-1.005,10.14705,1.52049,1.54412,-1.45746
HS,671,1739356522438,-1.66305,-1.005,10.14705,0.74843,2.10347,-1.38656
HS,672,1739356522454,0.90705,-1.077,8.787,-0.15756,-0.90599,-1.52049
HS,673,1739356522471,-1.27995,-0.16905,9.65595,-1.97742,-0.90599,-1.31565
HS,674,1739356522487,0.80505,-2.583,9.129,-2.89129,-0.55935,-2.01681
HS,675,1739356522505,-0.66195,-1.869,8.49705,1.30778,2.80463,-1.17385
HS,676,1739356522521,0.24195,-1.692,9.501,4.87659,5.67228,-0.96114
HS,677,1739356522537,-1.04505,0.273,8.88795,6.208,2.10347,-1.66229
HS,678,1739356522554,-1.04505,0.273,8.88795,3.26944,4.48268,-1.66229
HS,679,1739356522571,0.00495,-0.08295,10.29105,-1.48897,8.53994,-2.22164
HS,680,1739356522587,-1.00695,-1.06005,9.06195,-2.40284,5.88499,-2.8519
HS,681,1739356522603,-0.16905,-2.652,9.46005,-1.27626,-0.83509,-2.71009
HS,682,1739356522621,-1.39005,-2.08995,10.78395,0.74843,1.1187,-3.20641
HS,683,1739356522637,0.13695,-2.274,10.00095,4.81356,-2.2374,-4.25421
HS,684,1739356522653,-0.801,-0.65505,10.53705,5.30201,0.14181,-3.76576
HS,685,1739356522670,0.02595,-0.612,9.939,2.63919,2.10347,-3.62396
HS,686,1739356522686,0.02595,-0.612,9.939,0.60662,-0.63025,-3.76576
HS,687,1739356522703,-0.873,-0.35595,9.69405,-2.96219,-1.74895,-4.32512
HS,688,1739356522720,0.70905,-1.52895,9.62295,-5.54623,-1.39444,-4.1124
HS,689,1739356522737,-1.5,-2.817,9.714,-1.27626,-1.1896,-3.20641
HS,690,1739356522753,0.249,-1.54395,9.93195,1.93803,-6.16073,-4.25421
HS,691,1739356522769,-1.09995,0.297,10.21605,-0.85872,0.77206,-3.20641
HS,692,1739356522787,-1.14795,-1.692,11.47305,-4.64024,-0.34664,-4.1124
HS,693,1739356522803,-1.14795,-1.692,11.47305,-5.54623,0.70116,-3.69486
HS,694,1739356522819,-0.96105,-2.37495,9.51495,-3.52154,0.41754,-3.90757
HS,695,1739356522836,0.25905,-1.917,9.23505,-2.82038,-0.20483,-4.25421
