ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,201,1739355263173,0.06195,0.804,9.453,-0.30725,5.7747,-6.7831
HS,202,1739355263187,0.603,0.60495,8.51895,-1.63078,7.38184,-7.20853
HS,203,1739355263207,-1.62,-1.077,9.82095,-4.78205,-1.4417,-8.18542
HS,204,1739355263221,-0.99,-3.066,7.38405,0.39391,-3.39549,-7.90968
HS,205,1739355263238,-1.46205,-1.47705,12.28695,-2.12711,-0.59874,-7.41336
HS,206,1739355263257,-0.04905,-2.92305,9.71595,-3.1749,2.48162,-6.57827
HS,207,1739355263271,-0.04905,-2.92305,9.71595,-2.47375,4.58509,-5.94802
HS,208,1739355263289,-0.27705,-0.30105,10.923,-1.9144,7.87029,-5.87711
HS,209,1739355263304,-2.71395,-3.64605,9.30705,-1.21324,1.07931,-4.68751
HS,210,1739355263324,-1.54305,0.13395,9.996,1.23687,3.74213,-4.33299
HS,211,1739355263336,-1.10295,-2.74605,8.41605,3.40337,2.82826,-3.77364
HS,212,1739355263352,0.12195,0.97605,10.70205,6.97218,-3.5373,-4.61661
HS,213,1739355263371,1.542,-1.23495,9.70605,1.44958,6.68069,-4.4748
HS,214,1739355263387,1.542,-1.23495,9.70605,2.84402,3.45852,-3.2852
HS,215,1739355263406,2.30295,0.85695,9.55095,1.44958,9.27261,-4.61661
HS,216,1739355263420,-2.51295,-1.88805,8.78205,2.70221,4.30148,-4.26997
HS,217,1739355263436,-0.81105,-0.64605,9.85695,4.73478,-5.15232,-5.17596
HS,218,1739355263455,-1.27305,-1.17,8.421,6.208,3.52942,-4.82932
HS,219,1739355263473,0.02895,1.07205,12.651,4.24633,12.14026,-4.05726
HS,220,1739355263487,-1.54095,-1.49805,8.433,-0.23635,4.86083,-5.17596
HS,221,1739355263503,-1.54095,-1.49805,8.433,-0.23635,6.39707,-6.72008
HS,222,1739355263522,-2.44395,-1.81695,8.79405,0.95326,4.30148,-1.0478
HS,223,1739355263536,-1.42605,-4.05495,8.004,6.48373,-17.53681,-7.35033
HS,224,1739355263556,0.297,-3.045,10.52295,3.54518,12.84142,-6.72008
HS,225,1739355263569,-0.22605,-1.386,9.61095,9.07565,-4.86871,-6.57827
HS,226,1739355263586,-0.43695,-1.20795,11.313,6.3498,9.1308,-6.08983
HS,227,1739355263603,-0.186,0.70095,7.164,4.87659,-0.74055,-5.5935
HS,228,1739355263623,1.31205,0.534,12.28695,3.68698,-11.24215,-6.92491
HS,229,1739355263636,1.31205,0.534,12.28695,-0.65389,11.58091,-7.55517
HS,230,1739355263652,-2.58705,-1.647,8.69595,-1.35505,2.12711,-6.50737
HS,231,1739355263672,-1.68195,-1.479,10.85295,5.99529,3.52942,-5.5935
HS,232,1739355263686,-0.58095,-1.572,9.66105,6.90915,4.64812,-7.41336
HS,233,1739355263706,2.80905,0.33495,10.758,7.60243,7.09823,-8.32722
HS,234,1739355263719,-1.821,-3.31995,10.269,3.82879,1.78047,-6.57827
HS,235,1739355263736,-1.725,0.52605,10.43895,5.57774,5.07354,-7.27943
HS,236,1739355263753,-1.725,0.52605,10.43895,3.75789,1.70956,-6.99581
HS,237,1739355263771,-0.66195,-1.46895,9.141,3.61608,-4.30936,-7.35033
HS,238,1739355263785,0.62295,1.31595,10.05405,-1.35505,-1.93015,-8.46903
HS,239,1739355263805,-2.475,0.28905,9.72105,-5.4123,-11.73059,-8.88658
HS,240,1739355263818,-2.568,-2.88195,9.663,-5.62501,-3.75001,-8.39813
HS,241,1739355263835,-2.00805,-2.35305,7.67805,-0.51208,-9.83983,-8.74477
HS,242,1739355263854,0.16995,-1.21305,10.791,0.81933,-9.62712,-9.09929
HS,243,1739355263867,0.16995,-1.21305,10.791,-1.42595,2.62343,-8.46903
HS,244,1739355263885,-1.79895,-0.201,10.33395,-7.79151,2.19801,-10.00527
HS,245,1739355263903,-1.17195,-1.70205,12.627,-6.81462,12.5578,-7.76788
HS,246,1739355263919,1.542,-3.46395,9.297,-0.58298,1.56776,-9.24109
HS,247,1739355263935,-0.76305,-1.89105,9.71805,0.81933,5.00264,-8.53994
HS,248,1739355263951,-1.90995,-1.24395,8.69805,4.66388,-12.07723,-8.18542
HS,249,1739355263970,-0.14505,1.194,10.683,0.53572,-2.34769,-9.09929
HS,250,1739355263985,0.07695,-1.40205,7.94895,-1.35505,-1.93015,-8.11452
HS,251,1739355264008,0.07695,-1.40205,7.94895,-0.37027,-13.68438,-9.86347
HS,252,1739355264015,-1.37805,-0.651,11.478,-2.26103,4.51419,-7.76788
HS,253,1739355264034,1.25895,-1.02195,8.952,-3.45064,-7.80727,-10.56463
HS,254,1739355264051,0.98595,-1.077,11.37,-3.31671,1.00841,-9.72954
HS,255,1739355264067,-1.203,-1.80495,9.56805,-3.73425,-4.656,-8.11452
HS,256,1739355264085,-3.657,-2.949,11.47095,-2.54465,-0.03939,-10.00527
HS,257,1739355264103,1.233,0.49005,8.787,-3.59245,-2.69433,-7.48426
HS,258,1739355264116,1.233,0.49005,8.787,-3.59245,-7.59456,-6.99581
HS,259,1739355264134,1.34295,-0.495,9.35205,-5.48321,-11.23427,-7.62607
HS,260,1739355264155,1.40505,-1.077,8.16195,-3.38761,-13.12503,-7.83878
HS,261,1739355264167,-0.837,-5.50605,9.07005,-0.8666,1.43383,-5.80621
HS,262,1739355264183,-1.84995,-2.35305,10.32195,2.63919,19.77421,-3.84455
HS,263,1739355264200,0.01905,-0.08805,8.382,5.0893,12.14026,-5.10505
HS,264,1739355264220,0.35205,3.0,10.662,-5.20747,36.98801,-4.4748
HS,265,1739355264233,-0.59295,-1.29495,10.872,-10.09981,36.42866,-4.82932
HS,266,1739355264253,-0.59295,-1.29495,10.872,-7.02733,19.49059,-4.4039
HS,267,1739355264267,0.414,-0.13095,8.38695,-3.59245,3.88394,-4.33299
HS,268,1739355264285,-1.77795,-2.94,9.012,2.07984,-9.69803,-3.14339
HS,269,1739355264299,-2.44095,-1.98405,9.24,10.05254,-25.6592,-3.56881
HS,270,1739355264316,0.55095,0.31095,10.43205,10.8246,-25.93493,-5.38867
HS,271,1739355264336,-0.12795,0.37305,9.37095,2.21377,-10.11557,-4.05726
HS,272,1739355264350,-1.34895,-0.02595,8.21205,2.49738,-8.85506,-3.49791
HS,273,1739355264365,-1.34895,-0.02595,8.21205,1.16597,-22.92547,-5.31776
HS,274,1739355264382,-2.70195,-2.367,9.02595,2.35557,-22.72064,-3.07249
HS,275,1739355264401,1.26195,-3.19305,10.00305,-0.7957,-9.28048,-7.41336
HS,276,1739355264417,-2.223,0.141,10.896,-2.19013,2.06408,-4.5457
HS,277,1739355264436,-1.59795,-2.32395,9.204,0.39391,-0.59874,-3.63971
HS,278,1739355264449,-2.99895,-0.86895,5.349,9.84771,-7.94907,-2.58404
HS,279,1739355264466,-1.51005,-1.30695,12.46695,4.38814,-2.4186,-3.2852
HS,280,1739355264485,-2.62095,-1.22295,10.00605,2.91492,11.99845,-1.81986
HS,281,1739355264499,-2.62095,-1.22295,10.00605,-3.24581,16.33932,-3.21429
HS,282,1739355264515,-0.92595,1.728,12.297,-6.531,32.22959,-0.97689
HS,283,1739355264533,-3.018,-2.556,10.90095,-1.70168,9.90286,-2.65494
HS,284,1739355264548,-0.30795,-1.19205,10.13505,6.69644,-9.13868,-3.77364
HS,285,1739355264565,-0.39195,-2.32905,9.54795,4.87659,-16.69384,-2.3083
HS,286,1739355264585,-0.042,3.13605,11.68905,6.62554,-20.40446,-1.95379
HS,287,1739355264601,-0.95895,-0.837,10.51095,1.93803,-11.02944,-2.58404
HS,288,1739355264615,-0.95895,-0.837,10.51095,1.65442,-12.07723,-1.60715
HS,289,1739355264634,1.41705,0.50205,10.65705,2.28467,-5.7747,-1.67805
HS,290,1739355264648,-1.84995,-2.157,8.20005,2.84402,-18.52158,-1.67805
HS,291,1739355264665,-2.781,0.354,10.64505,-1.70168,1.50473,-5.31776
HS,292,1739355264684,-0.31695,-3.09795,9.17295,-1.84349,1.85137,-1.88288
HS,293,1739355264698,0.12,-1.299,9.29505,0.74843,-7.31882,-1.1896
HS,294,1739355264715,-0.28395,0.03795,10.66395,-0.72479,7.03521,-0.97689
HS,295,1739355264731,-0.80595,-2.298,7.2,-0.09454,3.60032,-0.27574
HS,296,1739355264749,-0.80595,-2.298,7.2,-0.8666,-4.38026,-2.02469
HS,297,1739355264766,-3.79095,-1.20795,11.16,-1.63078,10.60402,0.14181
HS,298,1739355264783,0.25605,-1.26105,9.843,-2.54465,3.25368,-1.60715
HS,299,1739355264798,-1.10295,0.62205,8.895,-2.19013,4.51419,-0.55935
HS,300,1739355264814,-3.468,-1.47405,10.566,-2.33194,-6.61766,-0.13393
HS,301,1739355264834,-1.797,-1.35,9.00495,-1.35505,-10.67492,-2.93856
HS,302,1739355264847,0.70905,-3.59295,10.86,-3.38761,-5.49896,-2.58404
HS,303,1739355264867,1.458,-2.63295,10.52805,-1.42595,-0.74055,-0.83509
HS,304,1739355264880,1.458,-2.63295,10.52805,-1.77259,9.48532,0.21271
HS,305,1739355264896,1.66905,-1.69005,10.28595,-1.14233,22.01161,0.91387
HS,306,1739355264914,-1.491,-2.71695,10.257,2.63919,22.78367,0.98477
HS,307,1739355264933,-0.906,1.12995,11.10705,-1.9853,23.0594,0.28361
HS,308,1739355264947,0.08595,0.306,10.248,-6.18436,25.16287,-0.83509
HS,309,1739355264966,-4.28205,0.069,8.92605,-4.78205,27.40027,2.31618
HS,310,1739355264980,-4.28205,0.069,8.92605,-2.96219,-11.44698,-0.48845
