ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,201,1739358595758,-0.108,1.24005,11.17905,4.38814,-5.96377,6.73584
HS,202,1739358595775,-0.94305,-0.66,10.16895,3.19854,7.05884,7.99634
HS,203,1739358595791,-0.94305,-0.66,10.16895,0.88235,-5.89287,7.99634
HS,204,1739358595807,-2.45595,-3.552,9.16995,2.21377,-7.64182,10.23374
HS,205,1739358595828,1.33995,-0.57105,11.09505,-1.9144,4.12028,11.42335
HS,206,1739358595842,-0.29895,-1.46205,13.506,5.78258,1.81198,10.37555
HS,207,1739358595858,-0.297,-1.97895,7.446,-1.77259,-1.552,13.03837
HS,208,1739358595877,-1.69005,2.39505,13.035,-8.42176,2.08771,12.75476
HS,209,1739358595891,0.363,-4.03305,5.646,-6.74371,1.74108,13.87346
HS,210,1739358595911,-0.39705,-3.37695,11.99805,-4.85295,-8.54781,14.43281
HS,211,1739358595927,-0.16005,-0.94905,9.141,-1.07143,9.0205,15.13396
HS,212,1739358595941,-0.16005,-0.94905,9.141,1.86713,-1.69381,16.04783
HS,213,1739358595958,0.25305,0.345,9.11505,-3.31671,8.8787,15.48848
HS,214,1739358595974,-2.241,-1.96695,8.68905,-1.63078,2.08771,16.32357
HS,215,1739358595991,0.25005,-0.27195,10.044,-3.104,8.59508,15.41758
HS,216,1739358596007,-0.54795,-1.01895,7.224,0.88235,8.17754,17.09563
HS,217,1739358596024,0.18795,-1.914,10.09695,0.53572,3.83667,16.25266
HS,218,1739358596044,-0.711,-1.311,6.82395,5.71955,7.76,14.78732
HS,219,1739358596056,-0.711,-1.311,6.82395,2.49738,2.08771,15.27577
HS,220,1739358596077,0.744,1.281,10.935,-1.70168,13.49531,13.87346
HS,221,1739358596091,0.01605,-1.02795,10.24305,-5.13657,11.67545,11.49425
HS,222,1739358596107,-2.47305,-2.805,8.016,-0.7957,10.0683,12.82566
HS,223,1739358596125,-0.67305,0.12705,12.129,0.74843,0.40966,9.11504
HS,224,1739358596140,0.801,-2.70405,8.77995,0.18908,6.84613,11.42335
HS,225,1739358596155,-0.39,-2.39295,10.83405,0.323,0.26786,10.30465
HS,226,1739358596173,-0.39,-2.39295,10.83405,2.28467,7.8309,11.63606
HS,227,1739358596189,1.824,-1.61505,12.129,-0.02363,3.76576,6.10558
HS,228,1739358596204,0.35595,-2.07705,8.93595,-1.28414,3.90757,7.29519
HS,229,1739358596223,-2.36805,-1.15005,7.602,2.49738,3.49003,7.36609
HS,230,1739358596239,-0.39495,0.56805,11.37795,0.74843,12.17177,5.05779
HS,231,1739358596260,-1.71705,0.24195,8.29905,-2.89129,2.71797,4.42753
HS,232,1739358596273,1.17,-1.25595,11.136,-4.08089,6.57039,3.44276
HS,233,1739358596291,1.17,-1.25595,11.136,-3.38761,9.43805,4.42753
HS,234,1739358596308,-0.06495,-2.271,7.94895,-1.35505,4.19119,2.46587
HS,235,1739358596325,1.014,-3.25695,9.52005,-0.58298,3.70274,1.06355
HS,236,1739358596339,-2.25105,-0.966,10.59,2.14286,11.74635,1.90652
HS,237,1739358596358,0.61395,-1.179,6.003,0.74843,-2.7416,-0.82721
HS,238,1739358596372,-0.94305,0.72795,10.31895,1.65442,6.01104,-1.17385
HS,239,1739358596389,0.24105,-0.06795,8.68905,-0.37027,3.76576,-2.71009
HS,240,1739358596406,0.021,-1.66995,8.21205,-2.47375,0.40966,-3.20641
HS,241,1739358596425,0.021,-1.66995,8.21205,-2.54465,-1.82774,-4.88447
HS,242,1739358596439,-2.01795,-1.97205,8.679,1.72532,-2.88341,-4.60085
HS,243,1739358596455,0.258,-1.73505,11.31795,5.29413,3.97848,-4.74266
HS,244,1739358596474,1.728,-1.99995,9.04305,5.0893,-2.25316,-6.84613
HS,245,1739358596488,1.34205,-1.416,12.096,8.86294,0.26786,-6.14497
HS,246,1739358596506,-2.08095,-0.468,8.75805,4.73478,4.33299,-5.86136
HS,247,1739358596522,-0.77595,-2.091,10.554,7.88605,-3.57669,-6.70432
HS,248,1739358596540,-0.58905,-1.52895,10.506,6.90915,-0.00788,-6.21588
HS,249,1739358596560,-0.58905,-1.52895,10.506,9.28836,1.11082,-5.51472
HS,250,1739358596575,0.43695,0.34695,10.34295,4.52995,-1.96954,-6.14497
HS,251,1739358596592,-1.06305,-0.84405,12.108,2.00893,1.81198,-4.88447
HS,252,1739358596606,0.15195,-2.37405,8.421,0.39391,-4.27785,-4.46692
HS,253,1739358596625,-1.113,-1.42305,11.79195,3.61608,-3.93121,-4.32512
HS,254,1739358596639,-0.28695,-1.01205,9.02205,-0.16544,-4.14392,-3.55305
HS,255,1739358596659,-0.08595,-0.62805,10.43205,0.04727,2.37133,-1.8041
HS,256,1739358596671,-0.08595,-0.62805,10.43205,-1.49685,-0.07878,-2.15862
HS,257,1739358596691,-1.48395,-2.27805,9.61305,1.93803,-3.58457,-1.7332
HS,258,1739358596708,-0.88095,-1.584,9.82905,2.56828,3.90757,-1.10294
HS,259,1739358596724,-0.83295,-0.73605,8.634,-0.16544,-6.23951,-0.6854
HS,260,1739358596740,-0.34905,-1.38495,8.87595,2.77312,3.97848,0.22847
HS,261,1739358596757,-0.414,-1.22505,9.35205,-0.37027,-5.19171,-0.6854
HS,262,1739358596774,1.191,-0.348,8.77695,1.79622,-5.89287,0.15756
HS,263,1739358596791,-1.16805,-2.07705,10.461,-0.16544,-0.14969,0.57511
HS,264,1739358596807,-1.16805,-2.07705,10.461,5.15232,-2.88341,0.01576
HS,265,1739358596823,-0.666,-1.69905,8.43495,5.64865,0.40966,0.29149
HS,266,1739358596841,0.849,-0.858,9.795,4.31724,-2.88341,-1.03204
HS,267,1739358596858,-0.057,-0.38895,11.454,2.77312,-1.76471,-0.82721
