ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,5001,1739352255185,-1.05404,-1.73779,10.06481,-4.34863,-2.25823,10.75713
Abj,5002,1739352255204,-1.20269,-2.81815,9.48515,-1.90729,-0.7324,9.53646
Abj,5003,1739352255220,-0.8336,-2.95244,10.05763,-2.57866,-2.13617,9.90266
Abj,5004,1739352255237,-0.8336,-2.95244,10.05763,0.59508,0.42723,10.26886
Abj,5005,1739352255255,-0.82642,-3.67567,10.22782,2.91434,3.35683,10.3299
Abj,5006,1739352255271,-1.18594,-2.19063,10.32114,0.59508,2.9296,9.35336
Abj,5007,1739352255283,-1.34387,-1.74736,10.18475,-0.99179,1.831,9.04819
Abj,5008,1739352255302,-1.13061,-2.43739,9.95474,-4.10449,0.85447,8.25476
Abj,5009,1739352255321,-0.82403,-3.35234,9.78455,-1.60213,0.3662,8.682
Abj,5010,1739352255336,-0.82403,-3.35234,9.78455,2.48711,1.70893,8.62096
Abj,5011,1739352255352,-0.73789,-3.26381,9.15703,4.19604,4.63854,8.86509
Abj,5012,1739352255367,-0.85992,-2.58814,9.77977,1.75471,5.06577,8.55993
Abj,5013,1739352255390,-1.08993,-1.71386,10.07438,-0.01526,1.89203,7.70546
Abj,5014,1739352255402,-1.17637,-2.27199,8.84806,-0.19836,0.79343,7.82753
Abj,5015,1739352255417,-1.17637,-2.27199,8.84806,-1.60213,-2.1972,7.88856
Abj,5016,1739352255435,-0.76899,-2.65543,8.86481,1.87678,-2.0141,7.94959
Abj,5017,1739352255452,-0.62064,-3.15823,9.04188,3.03641,-1.4648,8.19373
Abj,5018,1739352255468,-0.93918,-2.17388,9.44686,1.93781,-2.7465,7.76649
Abj,5019,1739352255486,-1.14766,-1.36421,10.12942,-3.67726,-1.6479,7.76649
Abj,5020,1739352255507,-1.05882,-2.26002,9.57129,-4.59276,-1.831,7.46133
Abj,5021,1739352255522,-1.05882,-2.26002,9.57129,-5.01999,-1.52583,7.82753
Abj,5022,1739352255536,-0.85992,-2.28156,9.13071,-3.61623,-4.0282,6.91203
Abj,5023,1739352255553,-0.93679,-3.6015,9.51626,1.32748,-4.3944,8.25476
Abj,5024,1739352255570,-0.932,-4.13569,10.21107,6.14911,5.8592,8.98716
Abj,5025,1739352255586,-0.84556,-2.93569,10.44557,6.69841,6.89677,9.53646
Abj,5026,1739352255606,-1.32473,-0.45852,9.65295,1.32748,3.53993,9.10923
Abj,5027,1739352255618,-1.32473,-0.45852,9.65295,-4.34863,-1.03757,7.82753
Abj,5028,1739352255634,-1.33908,-1.61815,9.46122,-3.06693,-6.16437,9.78059
Abj,5029,1739352255653,-0.74267,-4.75125,9.22882,7.05698,1.52583,9.53646
Abj,5030,1739352255669,-0.94636,-4.01366,10.19911,7.17905,-2.0141,9.90266
Abj,5031,1739352255687,-1.19791,-1.25623,11.21695,4.68431,1.40377,9.5975
Abj,5032,1739352255703,-1.3654,-1.80718,10.37378,5.59981,-1.03757,8.682
Abj,5033,1739352255728,-0.78814,-2.01326,9.5354,3.40261,-1.0986,8.92613
Abj,5034,1739352255737,-0.78814,-2.01326,9.5354,-2.09039,-3.05167,8.98716
Abj,5035,1739352255753,-0.91525,-0.47767,9.42054,-5.20309,-5.55404,8.80406
Abj,5036,1739352255769,-1.01336,-1.14616,8.76162,-2.51763,-8.9719,8.74303
Abj,5037,1739352255786,-0.74985,-4.72732,9.01556,4.01294,-1.4648,8.01063
Abj,5038,1739352255805,-1.4351,-2.66261,10.58465,3.76881,-2.62443,8.1327
Abj,5039,1739352255832,-0.76421,-1.44078,11.25045,1.81574,0.7324,7.64443
Abj,5040,1739352255847,-1.1668,-2.17149,10.24936,5.29464,0.30517,8.31579
Abj,5041,1739352255854,-1.1668,-2.17149,10.24936,7.78938,-5.06577,8.1327
