ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
RV,1501,1739352414065,-0.98794,-1.27238,10.38665,0.74766,-0.65611,12.25245
RV,1502,1739352414074,-0.64816,-1.86102,9.86501,3.84892,-0.48064,14.73956
RV,1503,1739352414093,-0.99033,-1.32742,10.78625,0.3662,-0.81251,12.29059
RV,1504,1739352414111,-0.45434,-3.42353,11.30788,-0.20599,-2.36504,11.52767
RV,1505,1739352414122,-0.45434,-3.42353,11.30788,-0.27084,-4.341,11.07755
RV,1506,1739352414143,-1.299,-1.01396,10.78625,-2.55196,-5.54641,9.4411
RV,1507,1739352414159,-0.83958,-1.87059,10.30768,-6.98069,-3.77644,6.50005
RV,1508,1739352414174,0.79472,-2.95214,8.12064,-7.85042,-2.67021,5.76384
RV,1509,1739352414192,-0.41605,0.95533,10.22393,-16.06322,-1.48387,0.25558
RV,1510,1739352414209,-0.48544,-0.38943,9.4008,-8.91087,-2.18576,5.66847
RV,1511,1739352414225,-0.48544,-0.38943,9.4008,-7.72072,-2.35741,7.36596
RV,1512,1739352414242,-1.56939,-1.81316,9.52762,8.49127,-1.11767,20.22493
RV,1513,1739352414261,-0.3993,-2.88275,10.04447,11.1424,-1.28933,22.4412
RV,1514,1739352414277,-0.84915,-1.99502,9.51805,10.19257,-0.97272,21.90335
RV,1515,1739352414303,-1.02861,-2.35155,11.33899,7.7932,0.65992,19.70996
RV,1516,1739352414320,-0.89462,-1.22213,9.78844,7.07224,3.65819,18.68765
RV,1517,1739352414333,-0.7654,-1.56909,11.66441,-5.39001,4.44018,9.5212
RV,1518,1739352414345,-0.7654,-1.56909,11.66441,-12.14182,4.63854,4.61183
RV,1519,1739352414360,0.24437,-0.6,9.69751,-7.75505,1.01086,6.45428
RV,1520,1739352414377,-0.97358,-2.16251,9.39841,-8.58663,0.72859,5.77528
RV,1521,1739352414392,-0.40409,-2.28933,9.32184,-6.25592,-0.01907,7.93052
RV,1522,1739352414408,-0.79651,-1.18146,10.13061,-5.03907,-2.08276,9.62801
RV,1523,1739352414430,-0.79651,-1.18146,10.13061,-4.52028,-3.18899,10.20783
RV,1524,1739352414444,-0.71515,-1.91366,10.71925,-2.75413,-5.32516,9.57842
RV,1525,1739352414455,-0.51655,0.40499,9.78365,0.7591,-5.74095,10.5931
RV,1526,1739352414475,-0.87547,-2.39701,9.3003,5.493,-4.30667,11.06993
RV,1527,1739352414494,-0.93051,-1.05224,10.3005,1.78523,-1.93781,6.11859
RV,1528,1739352414507,-0.93051,-1.05224,10.3005,2.5634,-1.83863,5.73332
RV,1529,1739352414524,-1.29661,-2.90907,11.19303,2.12854,-1.20159,2.9296
RV,1530,1739352414544,-0.78933,-1.6337,9.89612,3.2958,-1.39995,-0.03433
RV,1531,1739352414571,-1.31815,-1.10728,10.34118,3.60478,-0.95365,-1.90729
RV,1532,1739352414590,-0.88744,-2.59322,9.19741,2.10947,-0.28609,-2.02173
RV,1533,1739352414604,0.07448,-0.44207,10.67139,1.39995,-0.47301,-0.84302
RV,1534,1739352414618,-1.37557,-2.67697,9.4343,1.51058,-0.61033,-0.06866
RV,1535,1739352414631,-0.40409,-1.87059,9.78365,-0.63322,0.52641,-0.32424
RV,1536,1739352414644,-0.40409,-1.87059,9.78365,-1.77378,0.53023,-0.49971
RV,1537,1739352414656,-1.16261,-1.37049,10.38665,-3.34539,0.77055,-1.20541
RV,1538,1739352414688,-0.39452,-2.12901,9.2692,-9.11304,3.22332,-5.2298
RV,1539,1739352414703,-0.70798,-1.28913,10.51825,-8.70107,2.42989,-5.6761
RV,1540,1739352414719,-1.33968,-2.35872,10.02294,-8.41497,2.43752,-6.9578
RV,1541,1739352414726,-1.33968,-2.35872,10.02294,-11.4552,3.57808,-10.65032
RV,1542,1739352414740,0.31137,-1.08335,9.24527,-11.38654,3.92139,-13.48074
RV,1543,1739352414755,-1.42104,-0.11186,9.6688,-7.36596,3.04022,-10.9593
RV,1544,1739352414774,-1.19611,-0.62154,9.07538,-2.7465,2.57484,-6.748
RV,1545,1739352414792,-1.13629,-3.12921,9.18545,20.53391,-0.92694,8.7888
RV,1546,1739352414808,-1.13629,-3.12921,9.18545,19.74048,-0.50353,8.89943
RV,1547,1739352414825,0.19651,-6.10589,9.54676,-5.00855,-4.59276,-6.36273
RV,1548,1739352414842,-0.08345,-4.29213,10.7001,-12.77886,-5.81343,-10.11628
RV,1549,1739352414861,-0.98315,-0.22433,10.63311,-17.1313,-8.0297,-12.74071
RV,1550,1739352414887,-1.39232,-0.27458,9.94158,-12.53473,-4.85978,-9.16645
RV,1551,1739352414902,-0.96162,-1.75573,10.41297,-9.71193,-4.68431,-7.70928
RV,1552,1739352414914,-1.40668,-3.24646,9.4343,-12.38977,-3.99006,-8.30817
RV,1553,1739352414927,-1.40668,-3.24646,9.4343,-13.95375,-3.72303,-7.70928
RV,1554,1739352414946,0.18215,-2.40897,9.3697,-10.34897,-1.0719,-1.35036
RV,1555,1739352414959,-1.50479,-1.6672,7.3669,18.12691,7.73979,16.87572
RV,1556,1739352414978,-1.52632,-0.66461,10.92264,14.08726,11.23395,18.50836
RV,1557,1739352414993,-0.98315,-0.70768,11.65723,10.04762,5.88972,29.01373
RV,1558,1739352415013,-1.21525,-2.19123,11.3701,7.51473,1.61357,36.13556
RV,1559,1739352415028,-1.21525,-2.19123,11.3701,2.24298,-2.00647,48.85339
RV,1560,1739352415040,-0.09063,-1.94477,9.55394,2.86475,-5.25268,59.00781
RV,1561,1739352415058,-0.18395,-4.50748,9.76212,2.12091,-7.27441,63.67686
RV,1562,1739352415076,-1.68664,-2.72243,11.21695,-1.20159,-8.28146,63.47469
RV,1563,1739352415091,-0.81805,-1.21256,10.84607,-4.67668,-12.16471,62.65074
RV,1564,1739352415108,-0.81805,-1.21256,10.84607,-5.7028,-12.46606,61.73524
RV,1565,1739352415124,-0.96401,-2.18166,9.65444,-17.3144,-11.96635,52.9617
RV,1566,1739352415145,-0.82762,-1.65763,9.70948,-20.32411,-12.0579,44.46661
RV,1567,1739352415163,-0.07388,-1.94237,10.20958,-17.86752,-11.29499,32.12643
RV,1568,1739352415178,-0.52134,-2.33001,9.94397,-15.31174,-11.03941,25.82092
RV,1569,1739352415195,-1.16261,-2.49512,9.42952,-10.18494,-7.16379,16.34931
RV,1570,1739352415212,-1.27747,-2.43769,10.28615,-3.01734,-4.53554,12.90474
RV,1571,1739352415227,-1.27747,-2.43769,10.28615,-3.24621,-3.56282,10.21546
RV,1572,1739352415243,-0.15284,-3.02154,9.38166,-5.66084,-1.60213,4.45543
RV,1573,1739352415259,-0.66969,-2.55972,9.92244,-5.98127,-1.07953,2.05606
RV,1574,1739352415276,-0.46391,-1.17906,9.42712,-6.29025,0.25558,-3.14703
RV,1575,1739352415290,-0.32273,-1.89212,9.40319,-7.10276,1.11386,-5.7028
RV,1576,1739352415306,-0.32273,-1.89212,9.40319,-5.71425,1.97214,-6.97306
RV,1577,1739352415322,-1.20808,-1.28435,9.96312,-3.45983,1.51058,-6.16055
RV,1578,1739352415340,0.43579,-2.78943,9.01795,-0.82395,1.19778,-4.25326
RV,1579,1739352415358,-1.26311,-0.92782,9.97508,-0.40816,1.10623,-3.68107
RV,1580,1739352415373,-0.40887,-1.67198,9.48455,8.24332,0.19073,2.04843
RV,1581,1739352415394,-1.13151,-2.44487,9.48694,10.03236,0.51878,3.59334
RV,1582,1739352415411,-1.13151,-2.44487,9.48694,7.15998,1.4381,2.18194
RV,1583,1739352415432,-0.3993,-0.7675,9.89372,5.10773,1.77378,1.86533
RV,1584,1739352415447,-1.61725,-1.52842,10.41057,5.19546,5.24124,3.69252
RV,1585,1739352415461,-0.69841,-1.52363,9.6999,5.26794,5.83631,4.7072
RV,1586,1739352415477,-1.34207,-3.2656,10.23829,6.61068,6.95017,7.97248
RV,1587,1739352415494,-1.96182,-2.64586,9.75733,4.76823,3.95191,8.90705
RV,1588,1739352415512,-1.08126,-1.43749,10.96332,2.52144,3.34539,8.39972
RV,1589,1739352415525,-1.08126,-1.43749,10.96332,3.53993,2.57866,9.25037
RV,1590,1739352415545,-1.06211,-1.50688,10.18086,3.17755,1.51439,8.46075
RV,1591,1739352415564,0.39272,-2.0333,9.2668,1.81574,1.38469,6.92729
RV,1592,1739352415579,-0.37777,-1.69831,9.35295,-2.13235,-0.90787,2.95249
RV,1593,1739352415589,-1.0669,-2.23669,10.42732,-6.0423,-2.11709,-0.99179
RV,1594,1739352415607,-1.0669,-2.23669,10.42732,-6.02323,-2.41463,-2.18957
RV,1595,1739352415624,-0.21266,-2.12662,8.74278,-1.5182,-5.1268,-1.08334
RV,1596,1739352415641,-1.48086,-1.7653,10.31725,-1.27789,-3.73066,-0.7591
RV,1597,1739352415658,-0.3323,-1.91366,9.15913,-0.16021,-2.07513,0.82014
RV,1598,1739352415677,-1.42822,-2.32523,9.96312,2.5901,-2.10947,5.40527
RV,1599,1739352415700,-1.21047,-2.16969,9.82912,1.87296,-1.12912,7.57577
RV,1600,1739352415716,-0.77737,-3.25364,9.7334,1.12912,1.60975,7.81608
RV,1601,1739352415730,-0.77737,-3.25364,9.7334,0.25939,1.58687,7.43844
RV,1602,1739352415744,-1.41147,-1.56909,10.97049,0.03815,2.14761,6.96162
RV,1603,1739352415762,0.31137,-1.43988,9.32423,0.32424,1.98358,6.74419
RV,1604,1739352415779,-1.76321,-2.11466,9.46302,0.62559,0.20217,6.06138
RV,1605,1739352415797,-1.08365,-1.13599,10.50868,1.30459,-0.90024,5.87446
RV,1606,1739352415808,-1.08365,-1.13599,10.50868,1.98358,-1.25118,5.58074
RV,1607,1739352415825,0.0003,-2.95693,8.39821,1.39614,-5.96983,2.76939
RV,1608,1739352415839,-1.17697,-2.23669,9.47259,0.40435,-6.44283,0.33187
RV,1609,1739352415857,-1.59571,-0.21476,10.15933,0.40435,-6.44283,0.33187
RV,1610,1739352415873,-1.50957,-2.28215,9.89133,5.56548,-3.37591,3.70778
RV,1611,1739352415892,-1.11954,-1.29153,10.01815,6.27881,-1.60213,5.37094
RV,1612,1739352415909,-1.11954,-1.29153,10.01815,7.42318,-0.7057,7.93815
RV,1613,1739352415925,-0.01645,-4.2347,8.8361,4.61565,-0.11825,6.87388
RV,1614,1739352415950,-2.05274,-1.94955,11.17388,2.62443,2.42226,6.24829
RV,1615,1739352415965,-0.99751,-2.75115,10.20958,3.38735,5.19165,7.02647
RV,1616,1739352415979,-1.01904,-2.67458,8.91506,3.26147,4.58132,6.73274
RV,1617,1739352415995,-0.6673,0.12502,10.00858,-10.58547,2.70073,-3.49035
RV,1618,1739352416011,-0.6673,0.12502,10.00858,-12.17234,2.16668,-3.94428
