ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,1,1739354583465,0.76181,-1.42881,10.96062,-0.50353,1.6479,-5.35568
Abj,2,1739354583477,0.76181,-1.42881,10.96062,3.82984,-1.6479,-4.25708
Abj,3,1739354583486,0.83121,-2.29591,9.93799,4.25708,13.0001,-6.14911
Abj,4,1739354583499,0.78335,0.28385,10.66122,-1.23593,2.1972,-6.57634
Abj,5,1739354583517,0.78335,0.28385,10.66122,-0.50353,-0.9155,-4.62328
Abj,6,1739354583534,0.72562,-0.4322,9.85634,0.65611,2.7465,-5.53878
Abj,7,1739354583550,0.31137,-1.14616,9.22403,0.16784,1.15963,-5.59981
Abj,8,1739354583577,1.31994,-0.69811,10.69472,3.70778,0.24413,-4.68431
Abj,9,1739354583600,0.18903,-2.25763,8.66112,1.51058,1.4648,-5.23361
Abj,10,1739354583615,1.0325,-0.50907,11.34647,0.28991,-16.78417,-4.25708
Abj,11,1739354583633,-0.07687,-1.77847,9.12353,10.29175,12.51184,-5.96601
Abj,12,1739354583646,0.54855,0.32243,9.98106,-2.88383,-18.24897,-7.48422
Abj,13,1739354583656,0.54855,0.32243,9.98106,2.48711,-2.07513,-6.69841
Abj,14,1739354583664,0.63709,0.9332,9.63111,-2.09039,3.72303,-4.50121
Abj,15,1739354583681,1.17847,0.07328,9.31017,-6.42376,-11.23014,-6.69841
Abj,16,1739354583705,0.5677,-1.31396,9.81326,-3.61623,-2.0141,-4.56224
Abj,17,1739354583717,0.5677,-1.31396,9.81326,-2.63969,-10.6198,-6.21014
Abj,18,1739354583734,0.43579,-2.5666,8.98206,3.70778,5.61507,-6.21014
Abj,19,1739354583753,0.67059,-1.22991,10.15095,0.47301,-3.96717,-6.75944
Abj,20,1739354583767,0.89103,0.12832,10.76202,-2.15143,-0.24413,-7.42318
Abj,21,1739354583783,0.79531,0.27428,9.59522,-5.75239,-0.48827,-6.08808
Abj,22,1739354583800,0.79531,0.27428,9.59522,-3.67726,7.01884,-6.69841
Abj,23,1739354583833,0.52702,-2.61446,9.55933,-1.54109,-4.45543,-6.75944
Abj,24,1739354583852,0.80728,-3.61346,9.97149,4.13501,1.2817,-8.88798
Abj,25,1739354583865,0.78096,-0.51147,11.27707,3.46364,-11.23014,-9.31522
Abj,26,1739354583879,0.78096,-0.51147,11.27707,3.82984,-0.42723,-9.74245
Abj,27,1739354583896,0.73041,-0.15912,10.39771,0.04578,-9.09397,-9.62038
Abj,28,1739354583913,0.97478,-0.9018,9.69123,2.85331,3.90613,-10.29175
Abj,29,1739354583923,1.15454,-0.47288,10.22782,-0.32043,-2.99063,-9.68142
Abj,30,1739354583932,1.15454,-0.47288,10.22782,-3.86036,5.8592,-9.62038
Abj,31,1739354583950,0.96042,-0.65743,9.57368,1.81574,15.86104,-9.55935
Abj,32,1739354583967,0.99631,-0.31974,10.52004,-4.89793,-9.8874,-8.88798
Abj,33,1739354583985,0.78814,-1.17727,9.81087,-3.12796,0.24413,-9.01005
Abj,34,1739354584001,1.16411,-1.24427,9.29342,-2.76176,-3.72303,-8.52178
Abj,35,1739354584035,0.89342,-1.97976,9.93799,-1.90729,-5.73714,-7.85042
Abj,36,1739354584052,0.86949,-1.45514,10.68276,-0.62559,0.1831,-7.12564
Abj,37,1739354584078,0.88863,-1.18684,10.83141,-0.93076,-1.2817,-5.90498
Abj,38,1739354584099,1.23589,-1.07677,9.77019,-1.78523,-6.83574,-4.68431
Abj,39,1739354584112,0.60598,0.06132,9.77737,-3.00589,3.8451,-5.59981
Abj,40,1739354584124,0.58205,-1.19641,8.79512,-8.49889,-2.80753,-3.34158
Abj,41,1739354584137,0.58205,-1.19641,8.79512,-3.49416,2.07513,-4.37914
Abj,42,1739354584147,0.84078,-2.26002,9.12114,0.53404,5.43197,-3.34158
Abj,43,1739354584168,0.7017,-2.15952,10.41446,1.38851,-1.89203,-5.41671
Abj,44,1739354584185,0.57248,-1.71625,9.81805,3.28054,-1.89203,-5.05051
Abj,45,1739354584201,0.69452,0.48514,9.02752,-1.05283,-8.4226,-3.89088
Abj,46,1739354584219,0.69452,0.48514,9.02752,0.83921,0.1831,-4.44018
Abj,47,1739354584235,1.066,-0.07777,8.91267,-3.18899,-10.986,-3.21951
Abj,48,1739354584261,0.30179,-0.88026,8.54357,-4.22656,-7.07987,-3.34158
Abj,49,1739354584274,1.11625,-0.62393,9.3006,-4.47069,-0.5493,-2.48711
Abj,50,1739354584290,0.57966,-2.09222,10.43839,-0.01526,-8.48364,-3.95191
Abj,51,1739354584308,0.72323,-2.61446,10.38096,1.75471,-9.5212,-2.24298
Abj,52,1739354584318,0.72323,-2.61446,10.38096,7.17905,-6.7747,-4.13501
Abj,53,1739354584341,0.98195,-2.34856,10.18954,5.23361,-2.25823,-3.40261
Abj,54,1739354584357,1.18804,0.6673,10.51526,-1.41903,-4.9437,-1.75471
Abj,55,1739354584367,1.11386,0.0661,9.91885,-2.88383,-1.58687,-1.26644
