ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,751,1739358845383,0.42144,-3.51536,8.12692,7.17905,2.44133,-4.19604
Abj,752,1739358845398,-0.01914,-1.05763,11.43021,1.38851,-23.61228,-2.97538
Abj,753,1739358845414,0.49591,1.69502,10.46022,-3.61623,10.2536,-2.60918
Abj,754,1739358845430,0.73519,-1.28973,8.87677,-5.87446,-6.2254,-2.36504
Abj,755,1739358845443,0.73519,-1.28973,8.87677,-4.40966,19.82821,-1.38851
Abj,756,1739358845458,0.46959,-4.57179,8.45982,7.91145,0.0,-1.38851
Abj,757,1739358845482,-0.29222,-3.10558,8.51486,6.45428,17.69205,-2.36504
Abj,758,1739358845492,0.25872,-0.66461,9.73669,2.12091,-2.31927,-1.93781
Abj,759,1739358845511,0.18425,-1.17727,9.98824,-3.37209,-13.85457,-1.63264
Abj,760,1739358845523,0.18425,-1.17727,9.98824,7.36215,-8.30054,-0.53404
Abj,761,1739358845541,0.20369,-4.0687,7.71954,2.30401,-0.97653,-3.28054
Abj,762,1739358845558,0.2994,0.17378,12.99931,-3.12796,-43.14296,-2.05988
Abj,763,1739358845577,-0.08644,1.24935,8.78555,-9.71956,-3.05167,0.56456
Abj,764,1739358845593,1.25025,-1.56521,10.17249,-6.42376,40.51852,-2.60918
Abj,765,1739358845610,-0.14865,-3.55125,10.58704,-11.85573,-38.56545,-0.22888
Abj,766,1739358845631,-0.14865,-3.55125,10.58704,-4.40966,-12.02357,1.05283
Abj,767,1739358845652,-0.23958,-3.20638,8.96292,11.02415,46.56082,-2.79228
Abj,768,1739358845669,1.4994,-2.62164,9.37478,-4.71483,-26.29775,-0.53404
Abj,769,1739358845682,-0.41456,-0.0347,9.15703,2.60918,-0.5493,-0.96128
Abj,770,1739358845693,-0.19651,-1.81675,9.81805,-1.78523,-2.3803,2.02936
Abj,771,1739358845716,0.95803,-1.51974,11.81845,-0.74766,-11.29117,-0.47301
Abj,772,1739358845732,-0.21805,-2.36291,9.67209,-4.65379,-4.82164,-1.14438
Abj,773,1739358845741,-0.21805,-2.36291,9.67209,0.28991,15.92208,-2.24298
Abj,774,1739358845758,0.62991,-2.50439,11.31536,-0.68663,-16.29591,-0.41198
Abj,775,1739358845774,0.48156,-1.76889,11.78465,-2.39556,-4.88267,-1.63264
Abj,776,1739358845795,0.31615,-2.18584,8.73051,4.01294,-29.89872,1.90729
Abj,777,1739358845809,0.06461,-3.36431,4.77787,8.27765,11.41324,5.20309
Abj,778,1739358845824,0.06461,-3.36431,4.77787,11.14622,45.03499,-0.35094
Abj,779,1739358845842,0.74507,1.04327,14.31686,-0.50353,-49.91766,-1.69368
Abj,780,1739358845860,-0.1343,-1.44317,6.39482,-3.49416,19.82821,2.02936
Abj,781,1739358845877,0.83599,0.16181,9.98585,-2.33453,-6.10334,0.80869
Abj,782,1739358845893,0.23001,-2.69611,9.63111,-3.79933,-2.0141,0.38146
Abj,783,1739358845911,-0.17498,-4.29153,8.96531,-0.13733,-5.43197,1.84626
Abj,784,1739358845933,-0.17498,-4.29153,8.96531,5.11154,10.86394,0.19836
Abj,785,1739358845953,0.62991,-0.85394,10.22064,4.74534,-11.7184,1.66316
Abj,786,1739358845967,0.17228,-1.666,9.64816,5.05051,-11.04704,1.29696
Abj,787,1739358845982,0.37119,-3.24945,10.03849,1.81574,-18.37104,-0.16784
Abj,788,1739358845993,0.12203,-0.35324,9.28146,-2.70073,3.23477,1.84626
Abj,789,1739358846016,0.5007,-0.70289,11.42543,-1.84626,-11.04704,-0.04578
Abj,790,1739358846027,0.5007,-0.70289,11.42543,5.05051,-1.58687,1.48006
Abj,791,1739358846044,0.00957,-4.55982,9.91646,4.25708,0.61033,-0.22888
Abj,792,1739358846063,0.42383,-1.45992,10.83859,0.65611,-6.2254,1.66316
Abj,793,1739358846075,0.46451,0.00359,11.08296,0.35094,1.58687,1.35799
Abj,794,1739358846094,0.00718,-3.43849,7.45125,6.08808,2.62443,3.31106
Abj,795,1739358846109,0.00718,-3.43849,7.45125,0.90024,6.65264,1.78523
Abj,796,1739358846127,0.49113,-0.72682,9.169,1.57161,-4.0282,2.57866
Abj,797,1739358846144,0.24437,-1.31874,9.69602,0.96128,-2.99063,4.28759
Abj,798,1739358846161,0.36879,-3.02423,9.91885,0.96128,-13.91561,3.12796
Abj,799,1739358846178,-0.47677,-0.36042,9.12114,-4.22656,-8.30054,3.79933
Abj,800,1739358846201,0.5342,-0.81326,10.80748,-3.86036,-18.61517,3.25003
Abj,801,1739358846221,0.16271,-4.35613,10.41685,1.02231,-11.41324,2.39556
Abj,802,1739358846237,0.5653,-3.77887,9.2671,12.48895,3.90613,3.86036
Abj,803,1739358846252,0.5653,-3.77887,9.2671,0.59508,4.2113,2.82279
Abj,804,1739358846263,0.04068,1.14885,10.92234,-6.42376,-28.67805,2.70073
Abj,805,1739358846279,0.51745,1.08634,11.37518,-9.84163,-17.57761,6.42376
Abj,806,1739358846305,0.32333,-4.8664,7.98784,1.75471,29.95975,4.04346
Abj,807,1739358846316,0.9006,-2.12124,11.87109,-2.70073,-21.35405,5.44723
Abj,808,1739358846323,0.9006,-2.12124,11.87109,-5.08103,-16.23487,5.63033
Abj,809,1739358846343,-0.68524,-0.12562,9.79652,-3.79933,20.13338,5.99653
Abj,810,1739358846361,0.5318,-2.01565,8.05514,-0.32043,1.52583,6.17963
Abj,811,1739358846378,0.12443,-0.88265,9.95474,-3.55519,-3.90613,6.05756
Abj,812,1739358846398,0.25633,-4.15484,9.84198,-0.19836,-2.7465,6.97306
Abj,813,1739358846412,0.25633,-4.15484,9.84198,-2.70073,-3.35683,6.66789
Abj,814,1739358846428,0.81685,-2.08026,8.59173,-0.80869,-3.90613,6.91203
Abj,815,1739358846452,-0.54138,0.66969,9.21207,-5.26413,-12.817,7.46133
Abj,816,1739358846467,0.16989,-0.73161,11.00878,-11.18436,0.30517,5.50826
Abj,817,1739358846483,0.09093,-4.08545,10.02174,-3.43313,-0.79343,9.29233
Abj,818,1739358846500,0.41186,-2.49721,9.31735,2.18194,2.31927,7.09513
Abj,819,1739358846511,0.41186,-2.49721,9.31735,2.18194,18.60754,7.52236
Abj,820,1739358846534,0.02154,-2.23849,7.59512,-3.00589,0.5493,6.78996
Abj,821,1739358846551,0.36401,-0.01077,11.36561,-6.78996,-17.76071,7.94959
Abj,822,1739358846559,-0.02632,-2.18824,10.24457,-7.70546,5.79817,7.27823
Abj,823,1739358846577,-0.04307,-3.2686,8.51964,-0.93076,5.6761,6.24066
Abj,824,1739358846593,0.16989,-2.90429,9.6697,5.29464,-0.97653,5.87446
Abj,825,1739358846612,0.16989,-2.90429,9.6697,8.58282,-1.70893,6.48479
Abj,826,1739358846629,0.22522,-1.56042,9.83241,2.05988,-6.83574,6.91203
Abj,827,1739358846645,0.54377,0.82283,10.78595,-2.39556,-8.66674,7.46133
Abj,828,1739358846663,0.25633,-1.47667,9.04906,-2.39556,-1.03757,6.78996
Abj,829,1739358846686,-0.00718,-4.58136,7.94955,9.92555,7.8733,7.03409
Abj,830,1739358846704,0.25633,-1.44556,9.06581,6.81285,2.31927,6.42376
Abj,831,1739358846719,0.58205,0.50189,10.92712,0.47301,-5.79817,6.60686
Abj,832,1739358846733,0.58205,0.50189,10.92712,1.32748,0.9155,7.52236
Abj,833,1739358846752,-0.10319,-2.49482,9.41336,3.34158,4.51647,6.85099
Abj,834,1739358846766,0.28265,-2.77029,9.75823,6.87388,3.96717,6.85099
Abj,835,1739358846778,0.31376,-0.71246,10.12702,3.64674,4.3944,6.17963
Abj,836,1739358846799,0.24676,-0.67657,10.21825,0.71714,9.7043,5.75239
Abj,837,1739358846807,0.24676,-0.67657,10.21825,0.71714,-1.2817,7.46133
Abj,838,1739358846826,0.35204,-2.34616,10.52722,4.07398,8.6057,7.27823
Abj,839,1739358846846,0.21805,-2.72243,10.38096,0.53404,-6.34747,6.11859
Abj,840,1739358846862,0.17707,-0.21176,11.32493,2.79228,3.78407,7.33926
Abj,841,1739358846879,-0.17019,-2.51396,8.54118,2.67021,28.92218,5.81343
Abj,842,1739358846898,0.85274,-0.54736,10.95584,-3.25003,-0.9155,6.30169
Abj,843,1739358846918,0.85274,-0.54736,10.95584,-1.41903,9.21604,7.09513
Abj,844,1739358846938,-0.24437,-2.11167,9.8013,-3.31106,11.84047,7.09513
Abj,845,1739358846955,0.58445,-2.02762,9.32214,0.04578,1.52583,6.85099
Abj,846,1739358846970,-0.5677,-2.05633,9.97388,-3.43313,9.03294,6.36273
Abj,847,1739358846983,0.30897,-2.59532,9.80369,0.47301,-4.3944,5.75239
Abj,848,1739358846997,0.30179,-0.49442,11.88306,-0.44249,-4.08923,5.99653
Abj,849,1739358847018,-0.09362,-1.06241,8.95095,-4.10449,6.2254,6.91203
Abj,850,1739358847034,-0.09362,-1.06241,8.95095,1.44954,20.56061,5.81343
Abj,851,1739358847051,0.57009,-2.61924,8.30639,2.42608,7.93434,6.24066
Abj,852,1739358847060,0.067,-2.29352,10.98964,-0.62559,4.69957,4.89793
Abj,853,1739358847078,-0.09362,-1.9989,10.54876,-2.82279,-2.80753,6.05756
Abj,854,1739358847094,-0.09362,-1.9989,10.54876,1.20541,8.72777,4.71483
Abj,855,1739358847112,0.21087,-2.65783,8.93181,2.54814,2.86857,3.79933
Abj,856,1739358847131,0.2659,-1.42164,10.0337,4.01294,0.7324,4.89793
