ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Ak,501,1739351952814,2.68385,-0.2318,4.26072,-8.11362,-9.01768,0.22888
Ak,502,1739351952829,-3.95623,6.09003,19.96482,-23.53599,-5.58837,0.51497
Ak,503,1739351952848,-0.50339,-7.29781,3.3323,-0.93076,4.30285,1.38469
Ak,504,1739351952865,-2.73589,4.59452,12.19532,-20.244,20.44617,1.27407
Ak,505,1739351952880,-2.73589,4.59452,12.19532,49.04412,-0.13351,1.31603
Ak,506,1739351952900,4.19611,1.43839,14.65514,43.77236,31.24908,2.5901
Ak,507,1739351952914,6.78036,-4.67767,6.22762,29.05951,33.80485,2.64732
Ak,508,1739351952934,-0.66849,-1.54786,6.20848,15.65887,26.26342,2.63588
Ak,509,1739351952949,-1.39831,1.33789,12.17378,-22.31151,28.75816,1.83863
Ak,510,1739351952965,3.65773,-7.36242,12.64756,-51.83639,13.4693,0.01526
Ak,511,1739351952980,3.65773,-7.36242,12.64756,-11.08518,-11.03178,2.8762
Ak,512,1739351952996,-6.34427,-6.73071,8.65873,-58.25253,-0.85065,0.64848
Ak,513,1739351953013,5.07667,6.90599,16.48326,-113.31224,9.71193,-4.74534
Ak,514,1739351953031,0.97059,3.49621,3.51177,-12.24482,-7.17905,5.27176
Ak,515,1739351953050,-1.85294,-1.37079,8.58934,24.21498,20.98403,9.32666
Ak,516,1739351953065,0.49202,-9.65235,8.84058,56.89835,-13.14506,8.79643
Ak,517,1739351953079,0.49202,-9.65235,8.84058,-28.36144,-5.90116,4.68431
Ak,518,1739351953100,-3.5351,-5.06052,12.57578,-64.95094,-21.19383,0.96128
Ak,519,1739351953114,0.56381,0.72293,1.65015,4.32574,23.86023,4.01294
Ak,520,1739351953134,-3.5686,1.72074,9.80728,93.05298,-58.18768,0.85828
Ak,521,1739351953145,8.68505,-4.04596,6.64397,54.52567,-10.52444,2.38793
Ak,522,1739351953163,-3.32453,-0.68405,10.2332,-56.56648,-50.98193,-2.54814
Ak,523,1739351953181,-3.32453,-0.68405,10.2332,-17.99721,-12.43936,-5.09629
Ak,524,1739351953195,-2.47986,-13.32054,11.17837,-10.66939,-21.71643,-6.15293
Ak,525,1739351953209,-1.90319,5.90818,16.4019,29.41045,24.06622,-5.39382
Ak,526,1739351953229,0.66909,0.98853,8.2017,98.88548,0.08011,-7.96485
Ak,527,1739351953251,4.37318,-5.49601,1.15244,90.2607,0.84684,-7.33926
Ak,528,1739351953264,-10.75663,1.8667,13.59273,-37.02817,-31.82508,-5.0467
Ak,529,1739351953281,-10.75663,1.8667,13.59273,14.40006,64.02017,0.69807
Ak,530,1739351953297,3.34905,2.40748,11.73829,24.71851,40.66348,-0.38909
Ak,531,1739351953319,0.02782,6.87488,10.12074,10.73043,53.33934,2.3536
Ak,532,1739351953331,4.51197,-7.28345,10.15424,48.89153,23.04391,4.58895
Ak,533,1739351953351,3.57637,-7.86491,7.29482,-18.84405,-9.15119,4.23037
Ak,534,1739351953364,3.01645,7.27687,8.63719,-105.00407,4.96659,1.98358
Ak,535,1739351953378,3.01645,7.27687,8.63719,6.21396,9.24274,10.7762
Ak,536,1739351953403,-2.96082,1.5987,5.62941,7.32782,-11.40179,10.50155
Ak,537,1739351953414,0.19771,-11.54268,19.43361,-34.70891,-13.16795,8.25858
Ak,538,1739351953427,-1.21884,-5.60369,6.60329,-83.0397,3.79933,3.71541
Ak,539,1739351953448,4.68664,-4.11296,3.79891,-70.86736,-18.27949,5.35186
Ak,540,1739351953465,-2.23819,-2.50499,22.10161,-67.01463,-26.84705,5.48537
Ak,541,1739351953488,-0.39332,-3.18216,1.28166,24.5316,-23.34144,9.39532
Ak,542,1739351953500,-0.39332,-3.18216,1.28166,-31.4894,10.15824,6.71748
Ak,543,1739351953511,4.49522,-0.97837,12.14028,-30.11615,-16.90624,6.66026
Ak,544,1739351953531,0.04457,-1.05015,7.68963,-29.54014,-49.33784,7.04935
Ak,545,1739351953551,-1.59691,2.94108,7.89542,19.79388,-2.50237,7.38504
Ak,546,1739351953564,-1.29302,3.62782,9.60868,19.47727,11.5353,6.18344
Ak,547,1739351953577,-1.29302,3.62782,9.60868,74.27378,14.38098,6.47716
Ak,548,1739351953591,-1.5993,-7.67588,2.19811,66.93452,52.65653,7.86949
Ak,549,1739351953614,2.74846,4.30738,8.89801,-20.28596,43.06666,0.11444
Ak,550,1739351953631,-0.78096,-4.59871,10.28585,71.41284,41.13648,4.27234
Ak,551,1739351953647,4.66511,-7.19013,6.15344,45.72543,63.93625,4.85597
Ak,552,1739351953664,-1.72134,-1.35165,18.19173,-16.14332,-0.86591,-3.18136
Ak,553,1739351953682,-1.72134,-1.35165,18.19173,3.26147,-8.84984,-0.88498
Ak,554,1739351953700,1.96122,1.235,7.43839,-7.55669,-12.16853,-1.07571
Ak,555,1739351953716,2.29382,-0.97358,8.72812,-23.90982,-22.66245,-1.45336
Ak,556,1739351953728,-1.21406,-3.22762,14.0354,38.36328,-24.37138,2.63969
Ak,557,1739351953749,1.03759,-4.71595,10.3002,3.82984,-3.56282,2.99063
Ak,558,1739351953764,4.22483,-2.17956,10.82184,-22.12078,-38.75618,2.58629
Ak,559,1739351953779,4.22483,-2.17956,10.82184,16.27683,-13.75539,3.26147
Ak,560,1739351953796,2.27946,1.26132,9.74746,-14.70141,6.23685,2.3803
Ak,561,1739351953812,1.72433,-3.73011,11.29083,-39.40085,-8.66292,0.88117
Ak,562,1739351953831,-2.22144,0.20608,7.93131,-45.91234,-6.82429,0.26321
Ak,563,1739351953846,0.70738,-1.47847,10.90559,-38.32513,-4.67668,0.61033
Ak,564,1739351953867,0.70738,-1.47847,10.90559,5.2565,-4.41729,2.70073
Ak,565,1739351953880,-1.3002,-2.5672,9.75464,4.25708,-5.06195,2.50618
Ak,566,1739351953895,-2.22862,-6.59671,10.39113,11.92439,-7.39648,2.58629
Ak,567,1739351953916,0.44417,-0.33709,8.11077,9.31522,1.01849,2.12091
Ak,568,1739351953930,-1.05852,0.1989,10.94627,7.33926,1.95688,1.38851
Ak,569,1739351953948,1.00887,-3.69661,7.47667,50.55088,17.88659,0.9689
Ak,570,1739351953964,-1.27388,0.89043,10.62802,28.34618,12.27915,-2.20102
Ak,571,1739351953976,-1.27388,0.89043,10.62802,-36.49794,-16.31879,-5.93168
Ak,572,1739351953994,-1.52273,-1.12193,10.38156,6.96543,9.91029,-5.21454
Ak,573,1739351954013,0.45852,-2.44277,11.86511,11.72603,9.22367,-5.16876
Ak,574,1739351954031,2.7341,-6.38614,8.96501,27.06067,-16.56293,-5.40908
