ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Gar,11501,1742632386543,0.97149,-2.30967,8.8672,-17.32449,-6.7898,-5.14485
Gar,11502,1742632386551,-0.30568,-2.52443,12.72025,-17.60448,-2.79992,-5.35484
Gar,11503,1742632386560,-0.30568,-2.52443,12.72025,-21.31437,-5.38984,-2.90491
Gar,11504,1742632386568,-0.30568,-2.52443,12.72025,-16.8345,-1.18996,-4.44487
Gar,11505,1742632386576,0.43729,-2.75892,6.79921,-34.26399,-2.51993,-3.04491
Gar,11506,1742632386584,0.43729,-2.75892,6.79921,-23.8343,-11.96965,-3.18491
Gar,11507,1742632386592,-0.55513,0.91944,13.57628,-13.05462,-14.41958,-1.43496
Gar,11508,1742632386600,-0.55513,0.91944,13.57628,-16.48451,-1.81995,-1.78495
Gar,11509,1742632386611,0.09093,-5.89532,3.05863,-25.09426,-7.55978,-4.16488
Gar,11510,1742632386619,0.09093,-5.89532,3.05863,-23.8343,-4.82986,-5.91483
Gar,11511,1742632386625,0.09093,-5.89532,3.05863,-21.45437,0.69998,-4.30487
Gar,11512,1742632386635,-0.71127,-2.89711,6.67897,-11.72466,-18.33946,-1.43496
Gar,11513,1742632386645,-0.71127,-2.89711,6.67897,-0.73498,-1.74995,-0.45499
Gar,11514,1742632386655,1.06182,0.55394,9.6353,2.55492,2.72992,3.04491
Gar,11515,1742632386660,1.06182,0.55394,9.6353,2.13494,-2.79992,2.41493
Gar,11516,1742632386668,0.15613,-1.48056,11.24627,0.59498,-0.62998,2.55492
Gar,11517,1742632386677,0.15613,-1.48056,11.24627,-8.78474,5.45984,1.71495
Gar,11518,1742632386686,0.15613,-1.48056,11.24627,-12.07465,-2.65992,2.13494
Gar,11519,1742632386693,-1.90887,-3.36251,4.37707,-19.28443,-5.87983,3.4649
Gar,11520,1742632386702,-1.90887,-3.36251,4.37707,-4.93485,-17.21949,4.44487
