ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
HS,3301,1739356385986,0.44295,0.85695,10.02705,-1.28414,1.38656,0.99265
HS,3302,1739356386003,0.369,-1.17495,8.35395,-1.70168,8.10664,0.78782
HS,3303,1739356386020,-0.30495,0.105,9.747,-0.02363,5.09718,0.71691
HS,3304,1739356386036,-1.653,-2.07,10.27095,0.95326,5.58562,0.64601
HS,3305,1739356386053,-0.942,0.057,10.113,0.2521,8.17754,0.22847
HS,3306,1739356386068,-1.03995,-1.242,10.46295,0.2521,4.60873,0.29149
HS,3307,1739356386083,-0.49695,-2.226,10.01295,-0.09454,3.83667,-0.19695
HS,3308,1739356386101,-0.49695,-2.226,10.01295,1.44958,0.33876,0.22847
HS,3309,1739356386118,-0.37995,-1.38795,10.45095,4.17543,1.67017,0.3624
HS,3310,1739356386133,-0.74595,-2.07495,9.216,2.28467,-2.6707,0.15756
HS,3311,1739356386150,0.03405,-1.809,10.07505,1.37868,-1.13446,-0.26786
HS,3312,1739356386168,-1.85205,-0.57405,9.87405,-0.65389,5.23898,0.4333
HS,3313,1739356386185,0.261,-3.045,9.00495,-0.58298,-2.18225,-0.89811
HS,3314,1739356386202,-1.536,0.26505,9.45,-1.21324,2.50526,0.22847
HS,3315,1739356386219,-0.621,-2.90805,10.05795,-1.49685,1.81198,-0.05515
HS,3316,1739356386236,-0.621,-2.90805,10.05795,-1.14233,5.58562,-0.82721
HS,3317,1739356386251,-1.536,-0.80595,10.626,2.00893,6.14497,0.01576
HS,3318,1739356386267,-0.77505,-2.47005,9.285,7.74424,6.84613,-0.26786
HS,3319,1739356386284,-0.03495,0.936,11.361,1.93803,8.66599,-0.40179
HS,3320,1739356386302,0.28005,0.663,9.984,-0.30725,5.23898,-0.96901
HS,3321,1739356386319,-0.633,-2.62605,8.799,0.39391,0.40966,-0.82721
HS,3322,1739356386335,-0.60195,-0.95895,11.61705,0.74843,1.59927,-0.6145
HS,3323,1739356386351,-0.59505,-2.65905,9.16995,4.52207,10.97429,-0.96901
HS,3324,1739356386366,-0.59505,-2.65905,9.16995,2.56828,-2.32406,-1.17385
HS,3325,1739356386383,0.0,0.14595,11.44695,4.52207,6.91703,-1.38656
HS,3326,1739356386400,-0.41805,-1.55805,9.345,-0.09454,1.59927,-1.10294
HS,3327,1739356386418,-1.00905,-1.51005,8.59305,2.21377,6.01104,-1.10294
HS,3328,1739356386436,-1.953,-3.387,9.91005,3.19854,4.39602,-0.96901
HS,3329,1739356386449,-0.63105,1.94895,9.55095,2.00893,7.05884,-0.89811
HS,3330,1739356386460,-0.63105,1.94895,9.55095,-0.51208,5.51472,-1.17385
HS,3331,1739356386481,-0.83895,-1.63005,9.88395,-1.84349,7.47638,-2.08771
HS,3332,1739356386498,-1.464,-0.52905,9.89295,1.37868,9.78469,-1.59927
HS,3333,1739356386517,-2.62995,-3.81795,7.92705,8.23269,4.60873,-1.52837
