ID,SrNo,Timestamp,X_Acc,Y_Acc,Z_Acc,X_Gyro,Y_Gyro,Z_Gyro
Abj,901,1739352592125,-0.84556,-3.48425,7.62383,4.50121,6.28644,-2.60918
Abj,902,1739352592146,-0.78335,-1.96301,10.81227,1.32748,1.0986,-4.37914
Abj,903,1739352592162,-1.3654,-2.52353,10.77877,5.17258,-4.08923,-1.26644
Abj,904,1739352592179,-0.2348,-1.8,10.66601,3.82984,9.5212,-3.82984
Abj,905,1739352592193,-1.61456,0.04696,9.49951,-10.08576,2.0141,-5.41671
Abj,906,1739352592210,-0.52702,-0.94965,9.09691,-2.88383,7.20194,1.78523
Abj,907,1739352592234,-0.44806,-4.05434,7.37947,4.74534,32.09592,-5.35568
Abj,908,1739352592252,-1.69143,-0.59521,13.67259,-7.58339,-11.3522,-4.07398
Abj,909,1739352592268,-1.69143,-0.59521,13.67259,-6.91203,1.34273,-4.19604
Abj,910,1739352592280,-1.63609,-3.07448,8.19392,3.40261,-15.44144,-5.23361
Abj,911,1739352592297,-0.97747,-0.2671,9.62154,-2.82279,-10.13154,-5.59981
Abj,912,1739352592309,-0.35952,-2.57617,10.7692,-9.78059,0.3662,-6.63738
Abj,913,1739352592326,-0.35952,-2.57617,10.7692,1.75471,0.7324,-2.60918
Abj,914,1739352592344,-1.64088,-2.7679,9.84437,-2.09039,11.65737,-9.43728
Abj,915,1739352592361,-0.53898,-0.9018,9.95235,-4.40966,-13.79354,1.35799
Abj,916,1739352592380,1.08993,-2.59292,8.534,5.11154,19.03478,-2.18194
Abj,917,1739352592395,0.25394,-4.36092,10.45065,5.66084,-2.3803,-2.30401
Abj,918,1739352592420,-1.78714,-1.54367,8.59651,-5.14206,19.64511,-4.07398
Abj,919,1739352592435,-0.90808,2.72034,11.77029,-7.03409,-4.7606,-1.38851
Abj,920,1739352592450,-0.90808,2.72034,11.77029,0.28991,-14.03767,0.80869
Abj,921,1739352592470,-2.11526,-5.11316,7.14228,5.53878,3.78407,-3.70778
Abj,922,1739352592485,-0.8001,-5.0004,12.54168,-9.65853,3.05167,-4.98948
Abj,923,1739352592497,-1.15962,1.63729,9.44447,1.93781,-0.30517,2.27349
Abj,924,1739352592515,0.50548,-2.21934,3.42443,1.63264,18.79064,-4.62328
